time_s	gforce_x	gforce_y	gforce_z	lin_acc_x	lin_acc_y	lin_acc_z
0.003	0.01	0.04	0.99	-0.12	-0.07	-0.11
0.003	0.01	0.04	0.99	-0.03	0.04	-0.07
0.004	0.0	0.04	0.98	-0.03	0.04	-0.07
0.004	0.0	0.04	0.98	-0.06	0.01	-0.17
0.021	-0.01	0.02	1.01	-0.06	0.01	-0.17
0.021	-0.01	0.02	1.01	-0.15	-0.15	0.06
0.023	-0.01	0.03	1.0	-0.15	-0.15	0.06
0.024	-0.01	0.03	1.0	-0.16	-0.09	-0.04
0.034	0.01	0.05	1.0	-0.16	-0.09	-0.04
0.034	0.01	0.05	1.0	0.04	0.09	0.0
0.043	-0.02	0.01	1.0	0.04	0.09	0.0
0.044	-0.02	0.01	1.0	-0.27	-0.25	0.02
0.054	0.0	0.03	1.0	-0.27	-0.25	0.02
0.054	0.0	0.03	1.0	-0.1	-0.11	0.01
0.063	-0.01	0.03	1.01	-0.1	-0.11	0.01
0.064	-0.01	0.03	1.01	-0.22	-0.1	0.13
0.073	-0.02	0.02	1.01	-0.22	-0.1	0.13
0.074	-0.02	0.02	1.01	-0.24	-0.15	0.11
0.083	0.01	0.04	0.93	-0.24	-0.15	0.11
0.084	0.01	0.04	0.93	0.07	0.05	-0.7
0.093	0.06	0.07	0.92	0.07	0.05	-0.7
0.094	0.06	0.07	0.92	0.52	0.33	-0.76
0.103	-0.01	0.02	1.04	0.52	0.33	-0.76
0.104	-0.01	0.02	1.04	-0.19	-0.16	0.37
0.113	-0.03	0.04	1.01	-0.19	-0.16	0.37
0.114	-0.03	0.04	1.01	-0.34	0.03	0.12
0.123	0.01	0.06	1.0	-0.34	0.03	0.12
0.124	0.01	0.06	1.0	-0.03	0.25	-0.03
0.133	-0.01	0.04	1.01	-0.03	0.25	-0.03
0.134	-0.01	0.04	1.01	-0.19	0.04	0.08
0.143	-0.02	0.02	1.03	-0.19	0.04	0.08
0.144	-0.02	0.02	1.03	-0.35	-0.19	0.25
0.154	-0.01	0.04	1.01	-0.35	-0.19	0.25
0.154	-0.01	0.04	1.01	-0.17	0.02	0.06
0.171	-0.01	0.03	1.0	-0.17	0.02	0.06
0.171	-0.01	0.03	1.0	-0.19	-0.05	0.04
0.173	-0.01	0.02	1.0	-0.19	-0.05	0.04
0.174	-0.01	0.02	1.0	-0.18	-0.11	0.0
0.184	0.0	0.03	1.01	-0.18	-0.11	0.0
0.184	0.0	0.03	1.01	-0.12	-0.09	0.05
0.194	0.0	0.03	1.01	-0.12	-0.09	0.05
0.195	0.0	0.03	1.01	-0.12	-0.05	0.09
0.203	0.0	0.03	1.01	-0.12	-0.05	0.09
0.204	0.0	0.03	1.01	-0.14	-0.04	0.08
0.213	0.0	0.03	1.01	-0.14	-0.04	0.08
0.214	0.0	0.03	1.01	-0.13	-0.05	0.06
0.223	0.0	0.03	1.0	-0.13	-0.05	0.06
0.224	0.0	0.03	1.0	-0.12	-0.04	0.04
0.234	0.0	0.03	1.01	-0.12	-0.04	0.04
0.234	0.0	0.03	1.01	-0.13	-0.03	0.05
0.245	0.0	0.03	1.01	-0.13	-0.03	0.05
0.245	0.0	0.03	1.01	-0.13	-0.04	0.07
0.254	0.0	0.03	1.01	-0.13	-0.04	0.07
0.254	0.0	0.03	1.01	-0.12	-0.04	0.11
0.263	0.0	0.03	1.01	-0.12	-0.04	0.11
0.264	0.0	0.03	1.01	-0.12	-0.04	0.08
0.273	0.0	0.03	1.01	-0.12	-0.04	0.08
0.274	0.0	0.03	1.01	-0.11	-0.04	0.06
0.286	0.0	0.03	1.01	-0.11	-0.04	0.06
0.287	0.0	0.03	1.01	-0.12	-0.05	0.06
0.295	0.0	0.03	1.01	-0.12	-0.05	0.06
0.295	0.0	0.03	1.01	-0.11	-0.04	0.07
0.303	0.0	0.03	1.01	-0.11	-0.04	0.07
0.304	0.0	0.03	1.01	-0.1	-0.02	0.07
0.313	0.0	0.03	1.01	-0.1	-0.02	0.07
0.314	0.0	0.03	1.01	-0.1	0.0	0.06
0.324	0.0	0.03	1.01	-0.1	0.0	0.06
0.324	0.0	0.03	1.01	-0.09	0.0	0.07
0.334	0.0	0.04	1.01	-0.09	0.0	0.07
0.334	0.0	0.04	1.01	-0.09	0.03	0.06
0.345	0.0	0.04	1.0	-0.09	0.03	0.06
0.346	0.0	0.04	1.0	-0.08	0.02	0.04
0.353	0.0	0.04	1.0	-0.08	0.02	0.04
0.354	0.0	0.04	1.0	-0.07	0.03	0.03
0.364	0.0	0.04	1.0	-0.07	0.03	0.03
0.364	0.0	0.04	1.0	-0.07	0.05	0.02
0.374	0.0	0.04	1.0	-0.07	0.05	0.02
0.374	0.0	0.04	1.0	-0.08	0.04	0.0
0.386	0.0	0.04	1.0	-0.08	0.04	0.0
0.387	0.0	0.04	1.0	-0.09	0.03	0.02
0.394	0.0	0.04	1.0	-0.09	0.03	0.02
0.395	0.0	0.04	1.0	-0.08	0.02	0.02
0.404	0.0	0.03	1.0	-0.08	0.02	0.02
0.404	0.0	0.03	1.0	-0.06	0.0	0.02
0.414	0.0	0.03	1.01	-0.06	0.0	0.02
0.414	0.0	0.03	1.01	-0.06	-0.03	0.06
0.423	0.0	0.03	1.01	-0.06	-0.03	0.06
0.424	0.0	0.03	1.01	-0.06	-0.05	0.07
0.434	0.01	0.03	1.01	-0.06	-0.05	0.07
0.435	0.01	0.03	1.01	-0.05	-0.05	0.06
0.444	0.01	0.03	1.0	-0.05	-0.05	0.06
0.445	0.01	0.03	1.0	-0.04	-0.05	0.05
0.454	0.01	0.03	1.0	-0.04	-0.05	0.05
0.454	0.01	0.03	1.0	-0.03	-0.05	0.01
0.464	0.01	0.03	1.0	-0.03	-0.05	0.01
0.465	0.01	0.03	1.0	-0.04	-0.05	-0.03
0.474	0.01	0.03	1.0	-0.04	-0.05	-0.03
0.474	0.01	0.03	1.0	-0.05	-0.06	-0.01
0.484	0.0	0.03	1.0	-0.05	-0.06	-0.01
0.485	0.0	0.03	1.0	-0.06	-0.06	0.01
0.494	0.01	0.03	1.0	-0.06	-0.06	0.01
0.495	0.01	0.03	1.0	-0.06	-0.06	0.03
0.504	0.01	0.03	1.0	-0.06	-0.06	0.03
0.504	0.01	0.03	1.0	-0.04	-0.05	0.04
0.514	0.01	0.03	1.0	-0.04	-0.05	0.04
0.516	0.01	0.03	1.0	-0.05	-0.01	0.03
0.524	0.01	0.03	1.0	-0.05	-0.01	0.03
0.525	0.01	0.03	1.0	-0.05	0.0	0.02
0.534	0.01	0.03	1.0	-0.05	0.0	0.02
0.535	0.01	0.03	1.0	-0.05	0.01	0.03
0.547	0.01	0.04	1.0	-0.05	0.01	0.03
0.549	0.01	0.04	1.0	-0.05	0.01	0.02
0.554	0.01	0.04	1.0	-0.05	0.01	0.02
0.555	0.01	0.04	1.0	-0.07	0.01	0.04
0.564	0.01	0.03	1.0	-0.07	0.01	0.04
0.566	0.01	0.03	1.0	-0.08	0.0	0.05
0.574	0.01	0.04	1.0	-0.08	0.0	0.05
0.575	0.01	0.04	1.0	-0.08	0.01	0.04
0.59	0.0	0.04	1.0	-0.08	0.01	0.04
0.593	0.0	0.04	1.0	-0.09	0.01	0.04
0.595	0.0	0.04	1.0	-0.09	0.01	0.04
0.595	0.0	0.04	1.0	-0.08	0.01	0.03
0.61	0.0	0.04	1.0	-0.08	0.01	0.03
0.611	0.0	0.04	1.0	-0.08	0.01	0.03
0.614	0.0	0.03	1.0	-0.08	0.01	0.03
0.615	0.0	0.03	1.0	-0.08	-0.01	0.02
0.624	0.01	0.03	1.0	-0.08	-0.01	0.02
0.625	0.01	0.03	1.0	-0.07	0.0	0.04
0.634	0.01	0.04	1.0	-0.07	0.0	0.04
0.635	0.01	0.04	1.0	-0.07	0.0	0.05
0.644	0.01	0.03	1.01	-0.07	0.0	0.05
0.646	0.01	0.03	1.01	-0.08	-0.01	0.08
0.654	0.0	0.03	1.01	-0.08	-0.01	0.08
0.655	0.0	0.03	1.01	-0.09	-0.01	0.07
0.664	0.0	0.03	1.01	-0.09	-0.01	0.07
0.665	0.0	0.03	1.01	-0.09	-0.03	0.06
0.674	0.0	0.03	1.01	-0.09	-0.03	0.06
0.675	0.0	0.03	1.01	-0.1	-0.02	0.07
0.688	0.0	0.03	1.0	-0.1	-0.02	0.07
0.689	0.0	0.03	1.0	-0.11	0.0	0.04
0.703	0.0	0.03	1.0	-0.11	0.0	0.04
0.705	0.0	0.03	1.0	-0.11	-0.01	0.04
0.706	0.0	0.03	1.0	-0.11	-0.01	0.04
0.708	0.0	0.03	1.0	-0.12	-0.02	0.02
0.715	0.0	0.03	1.0	-0.12	-0.02	0.02
0.717	0.0	0.03	1.0	-0.12	-0.05	0.03
0.724	0.0	0.03	1.0	-0.12	-0.05	0.03
0.727	0.0	0.03	1.0	-0.11	-0.06	0.03
0.734	0.0	0.03	1.0	-0.11	-0.06	0.03
0.736	0.0	0.03	1.0	-0.1	-0.09	0.04
0.744	0.0	0.03	1.0	-0.1	-0.09	0.04
0.747	0.0	0.03	1.0	-0.1	-0.08	0.01
0.754	0.0	0.03	1.0	-0.1	-0.08	0.01
0.755	0.0	0.03	1.0	-0.08	-0.08	0.01
0.771	0.0	0.03	1.0	-0.08	-0.08	0.01
0.774	0.0	0.03	1.0	-0.08	-0.07	0.01
0.776	0.0	0.03	1.0	-0.08	-0.07	0.01
0.777	0.0	0.03	1.0	-0.08	-0.07	0.02
0.79	0.0	0.03	1.0	-0.08	-0.07	0.02
0.791	0.0	0.03	1.0	-0.09	-0.08	0.03
0.801	0.0	0.03	1.0	-0.09	-0.08	0.03
0.803	0.0	0.03	1.0	-0.08	-0.06	0.04
0.805	0.0	0.03	1.0	-0.08	-0.06	0.04
0.806	0.0	0.03	1.0	-0.09	-0.04	0.03
0.815	0.0	0.03	1.0	-0.09	-0.04	0.03
0.816	0.0	0.03	1.0	-0.08	-0.03	0.01
0.823	0.0	0.03	1.0	-0.08	-0.03	0.01
0.825	0.0	0.03	1.0	-0.09	-0.02	-0.01
0.834	0.0	0.03	1.0	-0.09	-0.02	-0.01
0.836	0.0	0.03	1.0	-0.08	-0.01	-0.01
0.844	0.0	0.03	1.0	-0.08	-0.01	-0.01
0.846	0.0	0.03	1.0	-0.09	-0.01	0.01
0.854	0.0	0.03	1.0	-0.09	-0.01	0.01
0.855	0.0	0.03	1.0	-0.08	-0.03	0.03
0.864	0.0	0.04	1.01	-0.08	-0.03	0.03
0.865	0.0	0.04	1.01	-0.07	0.02	0.08
0.875	0.01	0.03	1.01	-0.07	0.02	0.08
0.879	0.01	0.03	1.01	-0.05	0.0	0.09
0.895	0.01	0.04	1.01	-0.05	0.0	0.09
0.897	0.01	0.04	1.01	-0.07	0.01	0.07
0.898	0.01	0.04	1.01	-0.07	0.01	0.07
0.899	0.01	0.04	1.01	-0.06	0.01	0.06
0.905	0.01	0.04	1.01	-0.06	0.01	0.06
0.906	0.01	0.04	1.01	-0.05	0.02	0.05
0.914	0.01	0.04	1.0	-0.05	0.02	0.05
0.916	0.01	0.04	1.0	-0.05	0.01	0.05
0.924	0.01	0.04	1.01	-0.05	0.01	0.05
0.925	0.01	0.04	1.01	-0.06	0.02	0.06
0.934	0.01	0.04	1.0	-0.06	0.02	0.06
0.936	0.01	0.04	1.0	-0.06	0.01	0.05
0.944	0.01	0.04	1.0	-0.06	0.01	0.05
0.946	0.01	0.04	1.0	-0.04	0.01	0.04
0.954	0.01	0.03	1.0	-0.04	0.01	0.04
0.955	0.01	0.03	1.0	-0.05	-0.01	0.04
0.97	0.01	0.03	1.0	-0.05	-0.01	0.04
0.972	0.01	0.03	1.0	-0.05	-0.01	0.04
0.975	0.01	0.04	1.01	-0.05	-0.01	0.04
0.976	0.01	0.04	1.01	-0.05	0.0	0.06
0.988	0.01	0.04	1.0	-0.05	0.0	0.06
0.99	0.01	0.04	1.0	-0.06	0.0	0.05
0.997	0.01	0.04	1.01	-0.06	0.0	0.05
0.998	0.01	0.04	1.01	-0.06	0.01	0.06
1.005	0.01	0.04	1.01	-0.06	0.01	0.06
1.007	0.01	0.04	1.01	-0.06	0.03	0.06
1.015	0.01	0.04	1.01	-0.06	0.03	0.06
1.018	0.01	0.04	1.01	-0.06	0.02	0.06
1.025	0.01	0.04	1.0	-0.06	0.02	0.06
1.026	0.01	0.04	1.0	-0.07	0.02	0.04
1.034	0.01	0.04	1.0	-0.07	0.02	0.04
1.036	0.01	0.04	1.0	-0.06	0.01	0.04
1.046	0.01	0.04	1.0	-0.06	0.01	0.04
1.048	0.01	0.04	1.0	-0.05	0.01	0.05
1.053	0.01	0.04	1.01	-0.05	0.01	0.05
1.054	0.01	0.04	1.01	-0.03	-0.01	0.07
1.064	0.01	0.04	1.01	-0.03	-0.01	0.07
1.065	0.01	0.04	1.01	-0.04	0.0	0.08
1.074	0.01	0.04	1.01	-0.04	0.0	0.08
1.077	0.01	0.04	1.01	-0.04	0.0	0.09
1.089	0.01	0.04	1.01	-0.04	0.0	0.09
1.094	0.01	0.04	1.01	-0.04	0.02	0.07
1.095	0.01	0.04	1.01	-0.04	0.02	0.07
1.096	0.01	0.04	1.01	-0.04	0.02	0.06
1.104	0.01	0.04	1.01	-0.04	0.02	0.06
1.105	0.01	0.04	1.01	-0.06	0.02	0.07
1.114	0.01	0.04	1.0	-0.06	0.02	0.07
1.116	0.01	0.04	1.0	-0.06	0.02	0.03
1.126	0.01	0.04	1.0	-0.06	0.02	0.03
1.127	0.01	0.04	1.0	-0.07	0.01	0.03
1.134	0.01	0.04	1.0	-0.07	0.01	0.03
1.135	0.01	0.04	1.0	-0.07	0.03	0.01
1.145	0.01	0.04	1.0	-0.07	0.03	0.01
1.147	0.01	0.04	1.0	-0.05	0.02	0.0
1.154	0.01	0.04	1.0	-0.05	0.02	0.0
1.155	0.01	0.04	1.0	-0.06	0.01	-0.01
1.164	0.01	0.04	1.0	-0.06	0.01	-0.01
1.165	0.01	0.04	1.0	-0.07	0.01	0.0
1.174	0.01	0.04	1.0	-0.07	0.01	0.0
1.179	0.01	0.04	1.0	-0.06	0.01	0.02
1.191	0.01	0.04	1.0	-0.06	0.01	0.02
1.195	0.01	0.04	1.0	-0.04	0.02	0.03
1.196	0.01	0.04	1.0	-0.04	0.02	0.03
1.197	0.01	0.04	1.0	-0.04	0.02	0.03
1.204	0.01	0.04	1.0	-0.04	0.02	0.03
1.206	0.01	0.04	1.0	-0.04	0.04	0.03
1.214	0.01	0.04	1.01	-0.04	0.04	0.03
1.217	0.01	0.04	1.01	-0.08	0.02	0.07
1.229	0.01	0.04	1.01	-0.08	0.02	0.07
1.231	0.01	0.04	1.01	-0.08	0.02	0.07
1.234	0.01	0.04	1.01	-0.08	0.02	0.07
1.235	0.01	0.04	1.01	-0.08	0.02	0.08
1.244	0.01	0.04	1.01	-0.08	0.02	0.08
1.246	0.01	0.04	1.01	-0.07	0.02	0.07
1.254	0.01	0.04	1.0	-0.07	0.02	0.07
1.255	0.01	0.04	1.0	-0.08	0.01	0.05
1.264	0.01	0.04	1.0	-0.08	0.01	0.05
1.266	0.01	0.04	1.0	-0.07	0.04	0.03
1.274	0.01	0.04	1.0	-0.07	0.04	0.03
1.275	0.01	0.04	1.0	-0.08	0.03	0.0
1.288	0.01	0.04	1.0	-0.08	0.03	0.0
1.291	0.01	0.04	1.0	-0.08	0.01	0.0
1.296	0.01	0.04	1.0	-0.08	0.01	0.0
1.297	0.01	0.04	1.0	-0.09	0.0	0.02
1.304	0.01	0.04	1.0	-0.09	0.0	0.02
1.305	0.01	0.04	1.0	-0.09	-0.01	0.03
1.314	0.01	0.03	1.0	-0.09	-0.01	0.03
1.315	0.01	0.03	1.0	-0.08	-0.02	0.04
1.326	0.01	0.03	1.0	-0.08	-0.02	0.04
1.327	0.01	0.03	1.0	-0.06	-0.02	0.03
1.334	0.01	0.04	1.0	-0.06	-0.02	0.03
1.335	0.01	0.04	1.0	-0.07	-0.01	0.04
1.344	0.01	0.04	1.01	-0.07	-0.01	0.04
1.346	0.01	0.04	1.01	-0.07	0.0	0.05
1.355	0.01	0.04	1.01	-0.07	0.0	0.05
1.356	0.01	0.04	1.01	-0.08	0.01	0.06
1.364	0.01	0.04	1.01	-0.08	0.01	0.06
1.366	0.01	0.04	1.01	-0.09	-0.01	0.06
1.386	0.0	0.04	1.01	-0.09	-0.01	0.06
1.388	0.0	0.04	1.01	-0.09	0.0	0.05
1.389	0.0	0.04	1.0	-0.09	0.0	0.05
1.39	0.0	0.04	1.0	-0.09	0.0	0.03
1.4	0.0	0.04	1.0	-0.09	0.0	0.03
1.402	0.0	0.04	1.0	-0.11	0.0	0.02
1.405	0.0	0.03	1.0	-0.11	0.0	0.02
1.406	0.0	0.03	1.0	-0.11	-0.02	0.02
1.414	0.0	0.03	1.0	-0.11	-0.02	0.02
1.416	0.0	0.03	1.0	-0.09	-0.02	0.04
1.424	0.01	0.04	1.0	-0.09	-0.02	0.04
1.426	0.01	0.04	1.0	-0.08	-0.01	0.03
1.434	0.01	0.03	1.0	-0.08	-0.01	0.03
1.435	0.01	0.03	1.0	-0.07	-0.01	0.02
1.445	0.01	0.04	1.0	-0.07	-0.01	0.02
1.446	0.01	0.04	1.0	-0.07	0.0	0.01
1.454	0.0	0.03	1.0	-0.07	0.0	0.01
1.455	0.0	0.03	1.0	-0.08	-0.03	0.02
1.464	0.01	0.03	1.0	-0.08	-0.03	0.02
1.465	0.01	0.03	1.0	-0.07	-0.01	0.02
1.487	0.0	0.03	1.01	-0.07	-0.01	0.02
1.489	0.0	0.03	1.01	-0.1	-0.02	0.05
1.491	0.0	0.03	1.01	-0.1	-0.02	0.05
1.492	0.0	0.03	1.01	-0.09	-0.01	0.07
1.499	0.0	0.03	1.01	-0.09	-0.01	0.07
1.501	0.0	0.03	1.01	-0.09	-0.01	0.06
1.507	0.01	0.04	1.01	-0.09	-0.01	0.06
1.509	0.01	0.04	1.01	-0.07	0.0	0.05
1.514	0.01	0.04	1.0	-0.07	0.0	0.05
1.516	0.01	0.04	1.0	-0.07	0.0	0.04
1.526	0.0	0.03	1.0	-0.07	0.0	0.04
1.528	0.0	0.03	1.0	-0.08	-0.01	0.03
1.534	0.0	0.03	1.0	-0.08	-0.01	0.03
1.536	0.0	0.03	1.0	-0.07	-0.03	0.04
1.544	0.0	0.03	1.0	-0.07	-0.03	0.04
1.546	0.0	0.03	1.0	-0.07	-0.02	0.03
1.554	0.0	0.03	1.0	-0.07	-0.02	0.03
1.555	0.0	0.03	1.0	-0.07	-0.01	0.03
1.564	0.01	0.03	1.0	-0.07	-0.01	0.03
1.565	0.01	0.03	1.0	-0.06	-0.01	0.05
1.577	0.0	0.03	1.0	-0.06	-0.01	0.05
1.578	0.0	0.03	1.0	-0.06	-0.01	0.05
1.59	0.0	0.03	1.01	-0.06	-0.01	0.05
1.591	0.0	0.03	1.01	-0.06	-0.02	0.05
1.594	0.0	0.03	1.0	-0.06	-0.02	0.05
1.595	0.0	0.03	1.0	-0.05	-0.02	0.04
1.604	0.0	0.03	1.0	-0.05	-0.02	0.04
1.605	0.0	0.03	1.0	-0.05	-0.02	0.02
1.614	0.0	0.03	1.0	-0.05	-0.02	0.02
1.615	0.0	0.03	1.0	-0.05	-0.03	0.01
1.626	0.01	0.03	1.0	-0.05	-0.03	0.01
1.627	0.01	0.03	1.0	-0.04	-0.02	0.0
1.634	0.0	0.03	1.0	-0.04	-0.02	0.0
1.635	0.0	0.03	1.0	-0.05	-0.04	0.03
1.644	0.0	0.03	1.01	-0.05	-0.04	0.03
1.646	0.0	0.03	1.01	-0.07	-0.04	0.06
1.654	0.0	0.03	1.01	-0.07	-0.04	0.06
1.655	0.0	0.03	1.01	-0.08	-0.02	0.06
1.664	0.0	0.03	1.0	-0.08	-0.02	0.06
1.665	0.0	0.03	1.0	-0.08	-0.03	0.04
1.682	0.0	0.03	1.0	-0.08	-0.03	0.04
1.684	0.0	0.03	1.0	-0.07	-0.02	0.03
1.685	0.0	0.03	1.0	-0.07	-0.02	0.03
1.686	0.0	0.03	1.0	-0.07	-0.01	0.02
1.698	0.0	0.03	1.0	-0.07	-0.01	0.02
1.699	0.0	0.03	1.0	-0.05	-0.01	0.02
1.704	0.0	0.03	1.0	-0.05	-0.01	0.02
1.705	0.0	0.03	1.0	-0.05	0.0	0.01
1.714	0.0	0.03	1.0	-0.05	0.0	0.01
1.715	0.0	0.03	1.0	-0.05	-0.02	0.03
1.724	0.0	0.03	1.0	-0.05	-0.02	0.03
1.725	0.0	0.03	1.0	-0.05	-0.02	0.04
1.733	0.0	0.03	1.0	-0.05	-0.02	0.04
1.735	0.0	0.03	1.0	-0.05	-0.02	0.04
1.744	0.0	0.03	1.01	-0.05	-0.02	0.04
1.745	0.0	0.03	1.01	-0.05	-0.04	0.05
1.754	0.0	0.03	1.01	-0.05	-0.04	0.05
1.754	0.0	0.03	1.01	-0.06	-0.05	0.06
1.764	0.0	0.03	1.01	-0.06	-0.05	0.06
1.765	0.0	0.03	1.01	-0.05	-0.05	0.07
1.785	0.0	0.03	1.01	-0.05	-0.05	0.07
1.786	0.0	0.03	1.01	-0.07	-0.03	0.05
1.788	0.0	0.03	1.0	-0.07	-0.03	0.05
1.789	0.0	0.03	1.0	-0.05	-0.03	0.03
1.8	0.0	0.03	1.0	-0.05	-0.03	0.03
1.801	0.0	0.03	1.0	-0.05	-0.02	0.0
1.804	0.0	0.03	1.0	-0.05	-0.02	0.0
1.805	0.0	0.03	1.0	-0.03	-0.01	-0.02
1.814	0.0	0.03	1.0	-0.03	-0.01	-0.02
1.817	0.0	0.03	1.0	-0.02	-0.02	-0.03
1.826	0.0	0.03	1.0	-0.02	-0.02	-0.03
1.828	0.0	0.03	1.0	-0.04	-0.01	0.0
1.834	0.0	0.03	1.0	-0.04	-0.01	0.0
1.834	0.0	0.03	1.0	-0.06	0.0	0.04
1.844	0.0	0.03	1.01	-0.06	0.0	0.04
1.845	0.0	0.03	1.01	-0.07	-0.02	0.07
1.854	0.0	0.03	1.01	-0.07	-0.02	0.07
1.856	0.0	0.03	1.01	-0.06	-0.02	0.05
1.864	0.0	0.03	1.0	-0.06	-0.02	0.05
1.865	0.0	0.03	1.0	-0.04	-0.02	0.03
1.887	0.0	0.03	1.0	-0.04	-0.02	0.03
1.889	0.0	0.03	1.0	-0.05	0.0	0.01
1.89	0.0	0.03	1.0	-0.05	0.0	0.01
1.891	0.0	0.03	1.0	-0.05	0.01	0.01
1.904	0.0	0.03	1.0	-0.05	0.01	0.01
1.906	0.0	0.03	1.0	-0.05	0.01	0.0
1.907	0.0	0.03	1.0	-0.05	0.01	0.0
1.907	0.0	0.03	1.0	-0.05	0.02	0.0
1.914	0.0	0.03	1.0	-0.05	0.02	0.0
1.914	0.0	0.03	1.0	-0.05	0.03	0.01
1.924	0.0	0.03	1.01	-0.05	0.03	0.01
1.926	0.0	0.03	1.01	-0.04	0.02	0.05
1.934	0.0	0.03	1.01	-0.04	0.02	0.05
1.935	0.0	0.03	1.01	-0.05	0.0	0.07
1.944	0.0	0.03	1.01	-0.05	0.0	0.07
1.945	0.0	0.03	1.01	-0.04	0.0	0.07
1.954	0.0	0.03	1.01	-0.04	0.0	0.07
1.955	0.0	0.03	1.01	-0.04	0.0	0.07
1.964	0.0	0.03	1.01	-0.04	0.0	0.07
1.965	0.0	0.03	1.01	-0.05	0.0	0.07
1.986	0.0	0.03	1.01	-0.05	0.0	0.07
1.988	0.0	0.03	1.01	-0.05	-0.01	0.06
1.989	0.0	0.03	1.01	-0.05	-0.01	0.06
1.989	0.0	0.03	1.01	-0.04	0.01	0.08
2.001	0.0	0.03	1.01	-0.04	0.01	0.08
2.002	0.0	0.03	1.01	-0.04	0.01	0.08
2.005	0.0	0.03	1.01	-0.04	0.01	0.08
2.006	0.0	0.03	1.01	-0.03	0.02	0.07
2.014	0.0	0.03	1.01	-0.03	0.02	0.07
2.017	0.0	0.03	1.01	-0.02	0.0	0.05
2.024	0.0	0.03	1.0	-0.02	0.0	0.05
2.026	0.0	0.03	1.0	-0.04	-0.01	0.02
2.034	0.0	0.03	1.0	-0.04	-0.01	0.02
2.035	0.0	0.03	1.0	-0.03	-0.01	0.01
2.045	0.0	0.03	1.0	-0.03	-0.01	0.01
2.047	0.0	0.03	1.0	-0.05	-0.02	0.01
2.055	0.0	0.03	1.0	-0.05	-0.02	0.01
2.056	0.0	0.03	1.0	-0.06	-0.03	0.01
2.065	0.0	0.03	1.0	-0.06	-0.03	0.01
2.065	0.0	0.03	1.0	-0.06	-0.04	0.02
2.089	0.0	0.02	1.0	-0.06	-0.04	0.02
2.09	0.0	0.02	1.0	-0.05	-0.04	0.02
2.091	0.0	0.03	1.0	-0.05	-0.04	0.02
2.093	0.0	0.03	1.0	-0.05	-0.02	0.02
2.094	0.0	0.03	1.0	-0.05	-0.02	0.02
2.095	0.0	0.03	1.0	-0.05	-0.03	0.02
2.107	0.0	0.03	1.0	-0.05	-0.03	0.02
2.109	0.0	0.03	1.0	-0.04	-0.03	0.01
2.114	0.0	0.03	1.0	-0.04	-0.03	0.01
2.116	0.0	0.03	1.0	-0.04	-0.03	0.03
2.125	0.0	0.02	1.0	-0.04	-0.03	0.03
2.127	0.0	0.02	1.0	-0.04	-0.04	0.03
2.134	0.0	0.02	1.0	-0.04	-0.04	0.03
2.135	0.0	0.02	1.0	-0.04	-0.04	0.03
2.144	0.0	0.03	1.0	-0.04	-0.04	0.03
2.146	0.0	0.03	1.0	-0.03	-0.01	0.03
2.154	0.0	0.03	1.01	-0.03	-0.01	0.03
2.155	0.0	0.03	1.01	-0.04	0.0	0.05
2.163	0.0	0.03	1.0	-0.04	0.0	0.05
2.164	0.0	0.03	1.0	-0.04	0.0	0.05
2.179	0.0	0.03	1.0	-0.04	0.0	0.05
2.18	0.0	0.03	1.0	-0.03	0.0	0.04
2.184	0.0	0.03	1.0	-0.03	0.0	0.04
2.185	0.0	0.03	1.0	-0.03	0.0	0.01
2.194	0.0	0.03	1.0	-0.03	0.0	0.01
2.195	0.0	0.03	1.0	-0.02	0.0	0.0
2.204	0.0	0.03	1.0	-0.02	0.0	0.0
2.207	0.0	0.03	1.0	-0.02	0.0	-0.01
2.214	0.0	0.03	1.0	-0.02	0.0	-0.01
2.215	0.0	0.03	1.0	-0.03	0.02	-0.01
2.224	0.0	0.03	1.0	-0.03	0.02	-0.01
2.226	0.0	0.03	1.0	-0.02	-0.01	-0.01
2.234	0.0	0.03	1.0	-0.02	-0.01	-0.01
2.234	0.0	0.03	1.0	-0.02	0.0	0.0
2.244	0.0	0.03	1.0	-0.02	0.0	0.0
2.245	0.0	0.03	1.0	-0.03	-0.02	0.04
2.255	0.0	0.02	1.01	-0.03	-0.02	0.04
2.259	0.0	0.02	1.01	-0.03	-0.04	0.06
2.264	0.0	0.02	1.01	-0.03	-0.04	0.06
2.265	0.0	0.02	1.01	-0.03	-0.05	0.07
2.284	0.0	0.02	1.01	-0.03	-0.05	0.07
2.285	0.0	0.02	1.01	-0.03	-0.04	0.08
2.286	0.0	0.02	1.01	-0.03	-0.04	0.08
2.287	0.0	0.02	1.01	-0.03	-0.04	0.06
2.299	0.0	0.03	1.0	-0.03	-0.04	0.06
2.301	0.0	0.03	1.0	-0.02	-0.03	0.02
2.304	0.0	0.03	1.0	-0.02	-0.03	0.02
2.306	0.0	0.03	1.0	-0.02	-0.02	0.0
2.314	0.0	0.03	1.0	-0.02	-0.02	0.0
2.316	0.0	0.03	1.0	-0.02	-0.01	0.01
2.324	0.0	0.03	1.0	-0.02	-0.01	0.01
2.326	0.0	0.03	1.0	-0.03	-0.02	0.02
2.334	0.0	0.03	1.0	-0.03	-0.02	0.02
2.335	0.0	0.03	1.0	-0.04	-0.01	0.04
