time_s	gforce_x	gforce_y	gforce_z	ang_vel_x	ang_vel_y	ang_vel_z
0.003	-0.07	-0.04	0.95	0.01	0.03	-0.01
0.004	-0.07	-0.04	0.97	0.01	0.03	-0.01
0.009	-0.07	-0.04	0.97	0.01	0.02	-0.01
0.01	-0.08	-0.05	0.98	0.01	0.02	-0.01
0.018	-0.08	-0.05	0.98	0.01	0.01	-0.01
0.02	-0.09	-0.05	0.98	0.01	0.01	-0.01
0.034	-0.09	-0.05	0.98	0.01	0.01	0.0
0.034	-0.09	-0.05	0.98	0.01	0.01	0.0
0.038	-0.09	-0.05	0.98	0.0	0.0	0.0
0.041	-0.09	-0.05	0.98	0.0	0.0	0.0
0.048	-0.09	-0.05	0.98	0.0	-0.01	-0.01
0.051	-0.08	-0.04	0.98	0.0	-0.01	-0.01
0.067	-0.08	-0.04	0.98	0.0	-0.02	-0.01
0.067	-0.09	-0.05	1.0	0.0	-0.02	-0.01
0.068	-0.09	-0.05	1.0	0.0	-0.02	-0.01
0.07	-0.09	-0.05	1.02	0.0	-0.02	-0.01
0.078	-0.09	-0.05	1.02	0.0	0.0	-0.02
0.08	-0.09	-0.04	1.02	0.0	0.0	-0.02
0.088	-0.09	-0.04	1.02	0.0	0.02	-0.02
0.091	-0.09	-0.04	1.0	0.0	0.02	-0.02
0.098	-0.09	-0.04	1.0	-0.01	0.03	-0.02
0.1	-0.08	-0.04	0.98	-0.01	0.03	-0.02
0.112	-0.08	-0.04	0.98	-0.01	0.02	-0.02
0.112	-0.08	-0.05	0.97	-0.01	0.02	-0.02
0.118	-0.08	-0.05	0.97	0.0	0.0	-0.03
0.12	-0.08	-0.04	0.98	0.0	0.0	-0.03
0.128	-0.08	-0.04	0.98	0.0	-0.02	-0.03
0.13	-0.08	-0.05	0.99	0.0	-0.02	-0.03
0.138	-0.08	-0.05	0.99	0.0	-0.02	-0.03
0.15	-0.08	-0.05	1.0	0.0	-0.02	-0.03
0.15	-0.08	-0.05	1.0	0.0	-0.02	-0.03
