time_s,gforce_x,gforce_y,gforce_z,ang_vel_x,ang_vel_y,ang_vel_z
0.002,0.32,-0.1,1.03,0.04,0.01,-0.01
0.003,0.27,-0.05,0.89,0.04,0.01,-0.01
0.003,0.27,-0.05,0.89,0.04,0.0,0.0
0.003,0.32,-0.09,1.0,0.04,0.0,0.0
0.012,0.32,-0.09,1.0,0.03,0.0,-0.01
0.012,0.26,-0.05,0.87,0.03,0.0,-0.01
0.022,0.26,-0.05,0.87,-0.06,0.0,0.01
0.022,0.31,-0.13,1.07,-0.06,0.0,0.01
0.032,0.31,-0.13,1.07,0.06,0.01,0.0
0.032,0.28,-0.02,0.86,0.06,0.01,0.0
0.05,0.28,-0.02,0.86,-0.05,0.0,0.0
0.051,0.29,-0.16,1.02,-0.05,0.0,0.0
0.052,0.29,-0.16,1.02,0.04,0.02,0.0
0.053,0.29,-0.01,0.91,0.04,0.02,0.0
0.062,0.29,-0.01,0.91,-0.03,-0.01,0.0
0.062,0.29,-0.17,0.98,-0.03,-0.01,0.0
0.072,0.29,-0.17,0.98,0.04,0.02,0.01
0.073,0.29,0.02,0.91,0.04,0.02,0.01
0.082,0.29,0.02,0.91,-0.05,-0.01,-0.01
0.083,0.29,-0.12,1.07,-0.05,-0.01,-0.01
0.092,0.29,-0.12,1.07,0.06,0.01,0.01
0.092,0.3,-0.01,0.82,0.06,0.01,0.01
0.102,0.3,-0.01,0.82,-0.05,0.0,-0.01
0.102,0.26,-0.11,1.03,-0.05,0.0,-0.01
0.112,0.26,-0.11,1.03,0.01,0.0,0.01
0.113,0.33,-0.1,0.94,0.01,0.0,0.01
0.122,0.33,-0.1,0.94,0.03,0.01,-0.01
0.123,0.25,-0.04,0.85,0.03,0.01,-0.01
0.132,0.25,-0.04,0.85,-0.06,-0.01,0.01
0.133,0.33,-0.12,1.09,-0.06,-0.01,0.01
0.15,0.33,-0.12,1.09,0.05,0.02,-0.01
0.15,0.24,-0.05,0.85,0.05,0.02,-0.01
0.152,0.24,-0.05,0.85,-0.04,-0.03,0.02
0.152,0.34,-0.11,1.0,-0.04,-0.03,0.02
0.162,0.34,-0.11,1.0,0.02,0.02,-0.01
0.163,0.26,-0.07,0.92,0.02,0.02,-0.01
0.172,0.26,-0.07,0.92,-0.01,-0.02,0.0
0.173,0.29,-0.1,0.98,-0.01,-0.02,0.0
0.182,0.29,-0.1,0.98,0.0,0.0,0.01
0.182,0.34,-0.09,0.97,0.0,0.0,0.01
0.192,0.34,-0.09,0.97,0.03,0.01,-0.01
0.193,0.24,-0.08,0.85,0.03,0.01,-0.01
0.202,0.24,-0.08,0.85,-0.05,-0.01,0.01
0.202,0.33,-0.13,1.08,-0.05,-0.01,0.01
0.212,0.33,-0.13,1.08,0.06,0.01,-0.01
0.213,0.29,-0.03,0.87,0.06,0.01,-0.01
0.222,0.29,-0.03,0.87,-0.04,0.0,-0.01
0.222,0.28,-0.16,0.99,-0.04,0.0,-0.01
0.232,0.28,-0.16,0.99,0.04,0.01,0.0
0.233,0.29,-0.01,0.92,0.04,0.01,0.0
0.252,0.29,-0.01,0.92,-0.02,-0.02,0.0
0.252,0.32,-0.16,1.02,-0.02,-0.02,0.0
0.253,0.32,-0.16,1.02,0.05,0.03,-0.01
0.253,0.25,-0.01,0.87,0.05,0.03,-0.01
0.262,0.25,-0.01,0.87,-0.04,-0.03,0.0
0.263,0.32,-0.12,1.07,-0.04,-0.03,0.0
0.272,0.32,-0.12,1.07,0.06,0.02,0.0
0.272,0.28,-0.02,0.86,0.06,0.02,0.0
0.282,0.28,-0.02,0.86,-0.03,0.0,-0.01
0.283,0.27,-0.12,0.97,-0.03,0.0,-0.01
0.292,0.27,-0.12,0.97,0.01,-0.01,0.01
0.293,0.34,-0.09,0.96,0.01,-0.01,0.01
0.302,0.34,-0.09,0.96,0.03,0.01,-0.01
0.302,0.24,-0.05,0.9,0.03,0.01,-0.01
0.312,0.24,-0.05,0.9,-0.03,-0.01,0.01
0.313,0.32,-0.13,1.03,-0.03,-0.01,0.01
0.322,0.32,-0.13,1.03,0.05,0.02,-0.01
0.322,0.26,-0.02,0.89,0.05,0.02,-0.01
