time;gFx;gFy;gFz;TgF
0.00452373;0.3093;-0.0525;1.021;1.074
0.005312;0.2328;-0.0055;0.6886;0.733
0.014558423;0.3689;-0.1224;1.1645;1.234
0.024267923;0.2775;-0.084;1.0607;1.106
0.034541538;0.2271;0.044;0.6316;0.678
0.044323038;0.4167;-0.1113;1.2078;1.288
0.054430769;0.1906;-0.0592;0.9662;0.993
0.064230115;0.3194;-0.0072;0.8221;0.888
0.075603923;0.3492;-0.0759;1.0805;1.144
0.084221;0.2074;-0.0752;0.8449;0.88
0.094589269;0.3668;-0.039;1.1195;1.185
0.104336999;0.2647;-0.0145;0.8231;0.871
0.114310538;0.3012;-0.1545;1.0473;1.107
0.124466076;0.3101;0.0226;0.9702;1.025
0.134235499;0.2797;-0.0886;0.915;0.967
0.144194846;0.2927;-0.0569;0.9354;0.988
0.155483999;0.3133;-0.0271;1.0848;1.136
0.164243923;0.2884;-0.0657;0.8243;0.882
0.174127538;0.3001;-0.0503;0.9871;1.039
0.184143192;0.3132;-0.0926;1.0783;1.133
0.194301153;0.268;-0.0048;0.8152;0.864
0.205247884;0.3447;-0.1038;1.1;1.163
0.214835807;0.241;-0.0393;0.8721;0.912
0.224318153;0.3465;-0.0453;0.9747;1.041
0.234453884;0.2698;-0.0486;0.9571;1.002
0.244342307;0.2709;-0.0672;0.9785;1.024
0.255521692;0.3638;-0.0542;1.0307;1.1
0.264421192;0.2194;-0.0373;0.7917;0.829
0.274348769;0.3458;-0.1031;1.1407;1.202
0.284285576;0.2778;-0.0166;0.8614;0.911
0.294956653;0.3081;-0.104;0.9687;1.028
0.305673884;0.2888;-0.0333;0.9855;1.034
0.314689384;0.2952;-0.0434;0.968;1.019
0.324330538;0.3095;-0.0795;0.963;1.021
0.334414153;0.2631;-0.0316;0.9097;0.954
0.344340538;0.3605;-0.0944;1.075;1.144
0.35547973;0.2358;0.007;0.8228;0.862
0.364342999;0.3255;-0.107;1.0651;1.125
0.374390153;0.2963;-0.0668;0.9568;1.01
0.384386999;0.2789;-0.0009;0.8328;0.884
0.394523961;0.3305;-0.1219;1.1457;1.205
0.405097384;0.2442;-0.0024;0.8423;0.883
0.414447345;0.3671;-0.0843;0.9751;1.051
0.424852845;0.23;-0.0542;0.9785;1.013
0.434392461;0.3186;-0.0563;0.9918;1.049
0.444397845;0.3213;-0.0575;0.9604;1.02
0.455292422;0.2436;-0.0458;0.8385;0.881
0.464158768;0.3533;-0.0823;1.1504;1.212
0.474360422;0.2619;-0.0006;0.8611;0.906
0.484409768;0.3174;-0.1184;1.0009;1.062
0.494552499;0.289;-0.0282;0.9461;0.996
0.506092461;0.305;-0.0883;0.9725;1.029
0.514221576;0.277;-0.0384;0.8851;0.934
0.525662845;0.302;-0.0508;1.0671;1.116
0.534258115;0.311;-0.0625;0.9607;1.018
0.544774615;0.2643;-0.0358;0.8278;0.876
0.556280768;0.3398;-0.0762;1.1597;1.217
0.564522768;0.3354;-0.037;0.9761;1.039
0.574509422;0.2871;-0.1071;1.0311;1.082
0.58452723;0.2522;0.0117;0.8439;0.887
0.597875538;0.3819;-0.0855;1.0888;1.163
0.605940807;0.1946;-0.0638;0.8829;0.913
0.614353499;0.3638;-0.0426;1.0046;1.075
0.624483691;0.3006;-0.0649;0.9734;1.027
0.634371884;0.2325;-0.0614;0.8229;0.864
0.644428268;0.3919;-0.0529;1.1765;1.247
0.655694499;0.2134;-0.0316;0.7967;0.832
0.664411307;0.3419;-0.1151;1.0558;1.122
0.674726845;0.2944;-0.0214;0.9354;0.987
0.685088461;0.2601;-0.071;0.9441;0.988
0.695800499;0.3362;-0.054;0.9658;1.03
0.714606691;0.268;-0.0217;0.9781;1.021
0.71631023;0.3254;-0.1035;0.9748;1.039
0.728320614;0.2784;0.0053;0.8466;0.897
0.734934884;0.3117;-0.093;1.1465;1.198
0.744968191;0.2646;-0.0431;0.849;0.896
0.757097922;0.3359;-0.0514;0.978;1.041
0.765062191;0.2576;-0.1099;1.0071;1.052
0.774625999;0.2897;0.0327;0.9008;0.953
0.784989153;0.3568;-0.1054;1.0136;1.085
0.797905768;0.2046;-0.0335;0.9135;0.943
0.815669845;0.3906;-0.0491;1.0831;1.158
0.81782473;0.2392;-0.0318;0.8274;0.868
0.82803873;0.2954;-0.0912;1.0024;1.055
0.834897884;0.3413;-0.0578;1.0114;1.075
0.845026999;0.2456;-0.0281;0.8487;0.89
0.858019307;0.332;-0.0904;1.0827;1.142
0.865005037;0.2682;-0.0039;0.9086;0.954
0.87515273;0.3252;-0.1099;0.9707;1.035
0.885228999;0.2679;-0.0002;0.9295;0.974
0.897278614;0.3291;-0.0704;1.0776;1.135
0.912233884;0.2709;-0.0184;0.855;0.903
0.914851768;0.2945;-0.0897;0.9616;1.016
0.924799307;0.3213;-0.0693;1.0081;1.066
0.93482873;0.2499;-0.0126;0.8361;0.879
