time;gFx;gFy;gFz;wx;wy;wz
17.118;-0.22;-0.06;0.9;-0.11;-0.27;0.29
17.12;-0.24;-0.08;0.98;-0.11;-0.27;0.29
17.122;-0.24;-0.08;0.98;-0.13;-0.24;0.34
17.139;-0.25;-0.09;1.05;-0.13;-0.24;0.34
17.141;-0.25;-0.09;1.05;-0.14;-0.19;0.39
17.142;-0.25;-0.07;1.11;-0.14;-0.19;0.39
17.144;-0.25;-0.07;1.11;-0.14;-0.14;0.42
17.146;-0.23;-0.04;1.18;-0.14;-0.14;0.42
17.15;-0.23;-0.04;1.18;-0.13;-0.1;0.42
17.156;-0.22;-0.01;1.2;-0.13;-0.1;0.42
17.16;-0.22;-0.01;1.2;-0.12;-0.07;0.4
17.167;-0.21;0.03;1.19;-0.12;-0.07;0.4
17.171;-0.21;0.03;1.19;-0.11;-0.03;0.36
17.176;-0.22;0.08;1.17;-0.11;-0.03;0.36
17.18;-0.22;0.08;1.17;-0.1;-0.01;0.3
17.19;-0.25;0.12;1.16;-0.1;-0.01;0.3
17.191;-0.25;0.12;1.16;-0.09;0.0;0.24
17.196;-0.31;0.15;1.16;-0.09;0.0;0.24
17.2;-0.31;0.15;1.16;-0.08;0.0;0.17
17.207;-0.37;0.17;1.18;-0.08;0.0;0.17
17.211;-0.37;0.17;1.18;-0.05;0.01;0.1
17.216;-0.43;0.16;1.19;-0.05;0.01;0.1
17.229;-0.43;0.16;1.19;0.0;0.06;0.05
17.231;-0.47;0.14;1.18;0.0;0.06;0.05
17.232;-0.47;0.14;1.18;0.04;0.12;0.02
17.253;-0.5;0.1;1.16;0.04;0.12;0.02
17.255;-0.5;0.1;1.16;0.08;0.19;0.02
17.256;-0.47;0.07;1.17;0.08;0.19;0.02
17.257;-0.47;0.07;1.17;0.12;0.27;0.05
17.258;-0.33;0.11;1.23;0.12;0.27;0.05
17.261;-0.33;0.11;1.23;0.14;0.33;0.11
17.267;-0.05;0.22;1.39;0.14;0.33;0.11
17.271;-0.05;0.22;1.39;0.21;0.29;0.15
17.277;0.12;0.22;1.46;0.21;0.29;0.15
17.28;0.12;0.22;1.46;0.31;0.18;0.12
17.287;0.12;0.14;1.62;0.31;0.18;0.12
17.29;0.12;0.14;1.62;0.38;-0.01;0.02
17.296;0.03;0.07;1.73;0.38;-0.01;0.02
17.3;0.03;0.07;1.73;0.56;-0.13;-0.05
17.32;0.01;0.03;1.69;0.56;-0.13;-0.05
17.322;0.01;0.03;1.69;0.59;0.1;-0.07
17.323;0.06;0.05;1.58;0.59;0.1;-0.07
17.323;0.06;0.05;1.58;0.55;0.39;-0.13
17.326;0.14;0.07;1.36;0.55;0.39;-0.13
17.33;0.14;0.07;1.36;0.47;0.66;-0.21
17.341;0.19;0.02;1.11;0.47;0.66;-0.21
17.343;0.19;0.02;1.11;0.38;0.83;-0.27
17.346;0.22;-0.05;0.88;0.38;0.83;-0.27
17.351;0.22;-0.05;0.88;0.31;0.87;-0.3
17.356;0.22;-0.15;0.71;0.31;0.87;-0.3
17.36;0.22;-0.15;0.71;0.29;0.84;-0.25
17.367;0.2;-0.25;0.58;0.29;0.84;-0.25
17.373;0.2;-0.25;0.58;0.26;0.58;-0.13
17.378;0.09;-0.33;0.43;0.26;0.58;-0.13
17.38;0.09;-0.33;0.43;0.2;0.19;0.06
17.387;0.07;-0.42;0.51;0.2;0.19;0.06
17.39;0.07;-0.42;0.51;0.17;-0.13;0.17
17.396;0.0;-0.51;0.59;0.17;-0.13;0.17
17.4;0.0;-0.51;0.59;0.13;-0.35;0.23
17.406;-0.08;-0.49;0.7;0.13;-0.35;0.23
17.41;-0.08;-0.49;0.7;0.09;-0.47;0.31
17.416;-0.12;-0.29;0.83;0.09;-0.47;0.31
17.435;-0.12;-0.29;0.83;0.06;-0.48;0.35
17.439;-0.12;-0.09;0.91;0.06;-0.48;0.35
17.44;-0.12;-0.09;0.91;0.04;-0.44;0.32
17.442;-0.09;0.06;0.97;0.04;-0.44;0.32
17.443;-0.09;0.06;0.97;0.0;-0.38;0.23
17.446;-0.06;0.18;0.98;0.0;-0.38;0.23
17.453;-0.06;0.18;0.98;-0.02;-0.36;0.13
17.464;-0.03;0.26;1.04;-0.02;-0.36;0.13
17.466;-0.03;0.26;1.04;-0.05;-0.32;0.03
17.467;-0.03;0.25;1.01;-0.05;-0.32;0.03
17.474;-0.03;0.25;1.01;-0.12;-0.27;-0.07
17.477;-0.06;0.3;1.01;-0.12;-0.27;-0.07
17.481;-0.06;0.3;1.01;-0.16;-0.23;-0.11
17.488;-0.05;0.28;1.02;-0.16;-0.23;-0.11
17.49;-0.05;0.28;1.02;-0.16;-0.12;-0.16
17.496;-0.06;0.23;0.99;-0.16;-0.12;-0.16
17.5;-0.06;0.23;0.99;-0.13;-0.02;-0.18
17.524;-0.05;0.19;0.89;-0.13;-0.02;-0.18
17.526;-0.05;0.19;0.89;-0.1;0.05;-0.21
17.528;-0.05;0.14;0.82;-0.1;0.05;-0.21
17.529;-0.05;0.14;0.82;-0.08;0.08;-0.24
17.53;-0.03;0.11;0.74;-0.08;0.08;-0.24
17.531;-0.03;0.11;0.74;-0.06;0.07;-0.29
17.545;-0.02;0.06;0.69;-0.06;0.07;-0.29
17.547;-0.02;0.06;0.69;-0.07;0.03;-0.36
17.547;-0.06;0.0;0.65;-0.07;0.03;-0.36
17.55;-0.06;0.0;0.65;-0.09;-0.03;-0.43
17.556;-0.08;-0.05;0.63;-0.09;-0.03;-0.43
17.56;-0.08;-0.05;0.63;-0.12;-0.11;-0.49
17.566;-0.11;-0.11;0.66;-0.12;-0.11;-0.49
17.572;-0.11;-0.11;0.66;-0.16;-0.17;-0.52
17.576;-0.19;-0.21;0.74;-0.16;-0.17;-0.52
17.58;-0.19;-0.21;0.74;-0.18;-0.22;-0.52
17.587;-0.22;-0.24;0.81;-0.18;-0.22;-0.52
17.59;-0.22;-0.24;0.81;-0.19;-0.27;-0.51
17.596;-0.23;-0.25;0.85;-0.19;-0.27;-0.51
17.6;-0.23;-0.25;0.85;-0.17;-0.3;-0.47
17.607;-0.23;-0.25;0.87;-0.17;-0.3;-0.47
17.61;-0.23;-0.25;0.87;-0.13;-0.31;-0.41
17.616;-0.22;-0.23;0.88;-0.13;-0.31;-0.41
17.636;-0.22;-0.23;0.88;-0.08;-0.3;-0.35
17.638;-0.2;-0.19;0.86;-0.08;-0.3;-0.35
17.639;-0.2;-0.19;0.86;-0.03;-0.29;-0.29
17.639;-0.18;-0.13;0.85;-0.03;-0.29;-0.29
17.641;-0.18;-0.13;0.85;0.0;-0.28;-0.24
17.646;-0.15;-0.08;0.86;0.0;-0.28;-0.24
17.65;-0.15;-0.08;0.86;0.02;-0.28;-0.21
17.663;-0.13;-0.02;0.89;0.02;-0.28;-0.21
17.664;-0.13;-0.02;0.89;0.04;-0.29;-0.2
17.666;-0.12;0.02;0.96;0.04;-0.29;-0.2
17.676;-0.12;0.02;0.96;0.05;-0.31;-0.2
17.678;-0.14;0.05;1.05;0.05;-0.31;-0.2
17.68;-0.14;0.05;1.05;0.08;-0.32;-0.21
17.687;-0.18;0.05;1.16;0.08;-0.32;-0.21
17.69;-0.18;0.05;1.16;0.11;-0.3;-0.22
17.696;-0.22;0.04;1.26;0.11;-0.3;-0.22
17.7;-0.22;0.04;1.26;0.14;-0.23;-0.25
17.713;-0.26;0.0;1.33;0.14;-0.23;-0.25
17.715;-0.26;0.0;1.33;0.15;-0.11;-0.27
17.717;-0.29;-0.04;1.36;0.15;-0.11;-0.27
17.734;-0.29;-0.04;1.36;0.16;0.02;-0.26
17.736;-0.3;-0.1;1.33;0.16;0.02;-0.26
17.737;-0.3;-0.1;1.33;0.17;0.14;-0.24
17.738;-0.32;-0.16;1.25;0.17;0.14;-0.24
17.74;-0.32;-0.16;1.25;0.15;0.22;-0.2
17.746;-0.38;-0.22;1.2;0.15;0.22;-0.2
17.75;-0.38;-0.22;1.2;0.11;0.26;-0.17
17.757;-0.43;-0.25;1.16;0.11;0.26;-0.17
17.761;-0.43;-0.25;1.16;0.05;0.27;-0.13
17.766;-0.46;-0.25;1.11;0.05;0.27;-0.13
17.771;-0.46;-0.25;1.11;0.01;0.28;-0.09
17.776;-0.48;-0.2;1.08;0.01;0.28;-0.09
17.78;-0.48;-0.2;1.08;-0.03;0.3;-0.07
17.787;-0.5;-0.14;1.05;-0.03;0.3;-0.07
17.79;-0.5;-0.14;1.05;-0.06;0.33;-0.06
17.796;-0.44;-0.09;1.04;-0.06;0.33;-0.06
17.8;-0.44;-0.09;1.04;-0.08;0.35;-0.06
17.807;-0.3;-0.07;1.07;-0.08;0.35;-0.06
17.81;-0.3;-0.07;1.07;-0.09;0.35;-0.05
17.816;-0.09;-0.12;1.09;-0.09;0.35;-0.05
17.834;-0.09;-0.12;1.09;-0.1;0.29;-0.02
17.835;0.0;-0.13;1.2;-0.1;0.29;-0.02
17.838;0.0;-0.13;1.2;-0.18;0.09;0.01
17.838;0.01;-0.11;1.42;-0.18;0.09;0.01
17.841;0.01;-0.11;1.42;-0.27;-0.17;0.03
17.847;-0.03;-0.13;1.59;-0.27;-0.17;0.03
17.851;-0.03;-0.13;1.59;-0.33;-0.32;0.05
17.857;-0.07;-0.11;1.69;-0.33;-0.32;0.05
17.861;-0.07;-0.11;1.69;-0.41;-0.26;0.07
17.867;-0.06;-0.12;1.67;-0.41;-0.26;0.07
17.873;-0.06;-0.12;1.67;-0.45;-0.02;0.12
17.877;0.03;-0.17;1.52;-0.45;-0.02;0.12
17.88;0.03;-0.17;1.52;-0.42;0.27;0.2
17.887;0.13;-0.16;1.29;-0.42;0.27;0.2
17.89;0.13;-0.16;1.29;-0.36;0.52;0.3
17.896;0.24;-0.1;1.07;-0.36;0.52;0.3
17.9;0.24;-0.1;1.07;-0.32;0.66;0.34
17.906;0.31;-0.01;0.89;-0.32;0.66;0.34
17.911;0.31;-0.01;0.89;-0.28;0.67;0.31
17.916;0.35;0.08;0.73;-0.28;0.67;0.31
17.939;0.35;0.08;0.73;-0.24;0.6;0.24
17.942;0.35;0.16;0.59;-0.24;0.6;0.24
17.943;0.35;0.16;0.59;-0.22;0.47;0.13
17.944;0.32;0.22;0.51;-0.22;0.47;0.13
17.946;0.32;0.22;0.51;-0.25;0.31;0.01
17.947;0.24;0.26;0.49;-0.25;0.31;0.01
17.951;0.24;0.26;0.49;-0.31;0.12;-0.23
17.964;0.13;0.25;0.56;-0.31;0.12;-0.23
17.968;0.13;0.25;0.56;-0.3;-0.25;-0.29
17.97;0.04;0.22;0.65;-0.3;-0.25;-0.29
17.971;0.04;0.22;0.65;-0.26;-0.35;-0.28
17.976;-0.05;0.16;0.79;-0.26;-0.35;-0.28
17.98;-0.05;0.16;0.79;-0.2;-0.35;-0.23
18.0;-0.12;0.07;0.89;-0.2;-0.35;-0.23
18.002;-0.12;0.07;0.89;-0.12;-0.32;-0.14
18.006;-0.16;-0.01;0.99;-0.12;-0.32;-0.14
18.007;-0.16;-0.01;0.99;-0.04;-0.29;-0.04
18.008;-0.17;-0.08;1.06;-0.04;-0.29;-0.04
18.01;-0.17;-0.08;1.06;0.04;-0.26;0.08
18.016;-0.17;-0.12;1.15;0.04;-0.26;0.08
18.025;-0.17;-0.12;1.15;0.12;-0.21;0.18
18.027;-0.13;-0.16;1.16;0.12;-0.21;0.18
18.031;-0.13;-0.16;1.16;0.15;-0.17;0.21
18.039;-0.12;-0.19;1.16;0.15;-0.17;0.21
18.04;-0.12;-0.19;1.16;0.15;-0.1;0.22
18.05;-0.12;-0.19;1.16;0.13;-0.01;0.21
18.056;-0.09;-0.15;1.05;0.13;-0.01;0.21
18.06;-0.09;-0.15;1.05;0.1;0.09;0.19
18.066;-0.08;-0.12;0.95;0.1;0.09;0.19
18.07;-0.08;-0.12;0.95;0.05;0.16;0.16
18.076;-0.07;-0.08;0.85;0.05;0.16;0.16
18.08;-0.07;-0.08;0.85;0.0;0.2;0.16
18.087;-0.07;-0.04;0.75;0.0;0.2;0.16
18.091;-0.07;-0.04;0.75;-0.04;0.19;0.16
18.096;-0.08;-0.02;0.68;-0.04;0.19;0.16
18.102;-0.08;-0.02;0.68;-0.05;0.13;0.18
18.106;-0.09;0.02;0.66;-0.05;0.13;0.18
18.111;-0.09;0.02;0.66;-0.04;0.07;0.23
18.116;-0.11;0.04;0.66;-0.04;0.07;0.23
18.131;-0.11;0.04;0.66;0.0;-0.01;0.29
18.132;-0.13;0.05;0.65;0.0;-0.01;0.29
18.136;-0.13;0.05;0.65;0.03;-0.11;0.33
18.137;-0.14;0.06;0.72;0.03;-0.11;0.33
18.156;-0.14;0.06;0.72;0.06;-0.17;0.37
18.159;-0.16;0.08;0.73;0.06;-0.17;0.37
18.161;-0.16;0.08;0.73;0.09;-0.24;0.4
18.162;-0.17;0.09;0.76;0.09;-0.24;0.4
18.163;-0.17;0.09;0.76;0.1;-0.29;0.41
18.166;-0.17;0.09;0.76;0.1;-0.29;0.41
18.172;-0.17;0.09;0.76;0.11;-0.33;0.4
18.177;-0.17;0.08;0.77;0.11;-0.33;0.4
18.181;-0.17;0.08;0.77;0.09;-0.37;0.39
18.187;-0.17;0.06;0.76;0.09;-0.37;0.39
18.19;-0.17;0.06;0.76;0.05;-0.41;0.37
18.197;-0.18;0.02;0.77;0.05;-0.41;0.37
18.215;-0.18;0.02;0.77;0.0;-0.44;0.37
18.217;-0.19;-0.02;0.8;0.0;-0.44;0.37
18.218;-0.19;-0.02;0.8;-0.05;-0.46;0.37
18.219;-0.24;-0.11;0.93;-0.05;-0.46;0.37
18.24;-0.24;-0.11;0.93;-0.11;-0.45;0.39
18.242;-0.25;-0.13;1.01;-0.11;-0.45;0.39
18.242;-0.25;-0.13;1.01;-0.16;-0.4;0.44
18.243;-0.26;-0.12;1.08;-0.16;-0.4;0.44
18.244;-0.26;-0.12;1.08;-0.19;-0.31;0.49
18.246;-0.26;-0.08;1.14;-0.19;-0.31;0.49
18.251;-0.26;-0.08;1.14;-0.2;-0.2;0.54
18.256;-0.25;-0.03;1.18;-0.2;-0.2;0.54
18.261;-0.25;-0.03;1.18;-0.18;-0.1;0.57
18.267;-0.24;0.01;1.19;-0.18;-0.1;0.57
18.271;-0.24;0.01;1.19;-0.14;-0.01;0.59
18.277;-0.23;0.03;1.19;-0.14;-0.01;0.59
18.281;-0.23;0.03;1.19;-0.11;0.04;0.58
18.3;-0.21;0.06;1.16;-0.11;0.04;0.58
18.303;-0.21;0.06;1.16;-0.1;0.08;0.55
18.304;-0.19;0.1;1.14;-0.1;0.08;0.55
18.306;-0.19;0.1;1.14;-0.1;0.11;0.47
18.308;-0.2;0.14;1.12;-0.1;0.11;0.47
18.31;-0.2;0.14;1.12;-0.11;0.11;0.36
18.317;-0.25;0.18;1.1;-0.11;0.11;0.36
18.331;-0.25;0.18;1.1;-0.1;0.1;0.23
18.333;-0.33;0.18;1.09;-0.1;0.1;0.23
18.335;-0.33;0.18;1.09;-0.07;0.08;0.12
18.337;-0.42;0.16;1.08;-0.07;0.08;0.12
18.344;-0.42;0.16;1.08;-0.03;0.08;0.04
18.347;-0.48;0.11;1.06;-0.03;0.08;0.04
18.351;-0.48;0.11;1.06;0.0;0.1;0.0
18.356;-0.51;0.06;1.08;0.0;0.1;0.0
18.36;-0.51;0.06;1.08;0.02;0.14;0.01
18.366;-0.41;0.05;1.17;0.02;0.14;0.01
18.372;-0.41;0.05;1.17;0.03;0.19;0.06
18.376;-0.19;0.17;1.35;0.03;0.19;0.06
18.38;-0.19;0.17;1.35;0.07;0.23;0.11
18.386;0.06;0.28;1.54;0.07;0.23;0.11
18.39;0.06;0.28;1.54;0.19;0.18;0.11
18.396;0.1;0.26;1.71;0.19;0.18;0.11
18.401;0.1;0.26;1.71;0.34;0.06;0.02
18.419;0.04;0.18;1.85;0.34;0.06;0.02
18.421;0.04;0.18;1.85;0.46;-0.06;-0.11
18.422;-0.04;0.06;1.84;0.46;-0.06;-0.11
18.423;-0.04;0.06;1.84;0.58;-0.07;-0.21
18.427;-0.03;0.01;1.73;0.58;-0.07;-0.21
18.431;-0.03;0.01;1.73;0.67;0.04;-0.22
18.447;0.05;0.0;1.53;0.67;0.04;-0.22
18.449;0.05;0.0;1.53;0.68;0.27;-0.22
18.45;0.14;-0.01;1.24;0.68;0.27;-0.22
18.455;0.14;-0.01;1.24;0.61;0.54;-0.26
18.457;0.2;-0.05;0.99;0.61;0.54;-0.26
18.461;0.2;-0.05;0.99;0.48;0.76;-0.32
18.467;0.21;-0.12;0.76;0.48;0.76;-0.32
18.471;0.21;-0.12;0.76;0.36;0.9;-0.37
18.477;0.2;-0.18;0.59;0.36;0.9;-0.37
18.481;0.2;-0.18;0.59;0.27;0.94;-0.36
18.498;0.19;-0.25;0.49;0.27;0.94;-0.36
18.5;0.19;-0.25;0.49;0.24;0.8;-0.27
18.506;0.16;-0.33;0.28;0.24;0.8;-0.27
18.507;0.16;-0.33;0.28;0.25;0.59;-0.14
18.508;0.09;-0.42;0.3;0.25;0.59;-0.14
18.524;0.09;-0.42;0.3;0.22;0.17;-0.01
18.526;-0.01;-0.46;0.46;0.22;0.17;-0.01
18.527;-0.01;-0.46;0.46;0.18;-0.29;0.1
18.528;-0.12;-0.36;0.68;0.18;-0.29;0.1
18.53;-0.12;-0.36;0.68;0.16;-0.6;0.2
18.537;-0.14;-0.19;0.9;0.16;-0.6;0.2
18.54;-0.14;-0.19;0.9;0.14;-0.73;0.33
18.546;-0.15;0.02;1.09;0.14;-0.73;0.33
18.551;-0.15;0.02;1.09;0.12;-0.68;0.38
18.556;-0.1;0.03;1.08;0.12;-0.68;0.38
18.561;-0.1;0.03;1.08;0.07;-0.55;0.33
18.567;-0.07;0.15;1.21;0.07;-0.55;0.33
18.571;-0.07;0.15;1.21;-0.04;-0.46;0.26
18.576;-0.05;0.24;1.22;-0.04;-0.46;0.26
18.58;-0.05;0.24;1.22;-0.09;-0.33;0.17
18.586;-0.03;0.28;1.19;-0.09;-0.33;0.17
18.591;-0.03;0.28;1.19;-0.24;-0.09;-0.09
18.596;-0.03;0.26;1.15;-0.24;-0.09;-0.09
18.62;-0.03;0.26;1.15;-0.25;0.05;-0.19
18.622;-0.04;0.21;1.07;-0.25;0.05;-0.19
18.623;-0.04;0.21;1.07;-0.21;0.16;-0.23
18.624;-0.02;0.18;0.96;-0.21;0.16;-0.23
18.625;-0.02;0.18;0.96;-0.16;0.23;-0.27
18.626;-0.01;0.14;0.81;-0.16;0.23;-0.27
18.631;-0.01;0.14;0.81;-0.12;0.25;-0.31
18.65;0.0;0.1;0.71;-0.12;0.25;-0.31
18.652;0.0;0.1;0.71;-0.1;0.23;-0.36
18.652;0.0;0.07;0.6;-0.1;0.23;-0.36
18.653;0.0;0.07;0.6;-0.1;0.14;-0.42
18.656;0.01;0.02;0.55;-0.1;0.14;-0.42
18.66;0.01;0.02;0.55;-0.12;0.05;-0.46
18.667;-0.05;-0.03;0.5;-0.12;0.05;-0.46
18.672;-0.05;-0.03;0.5;-0.14;-0.06;-0.48
18.676;-0.06;-0.07;0.49;-0.14;-0.06;-0.48
18.681;-0.06;-0.07;0.49;-0.18;-0.18;-0.5
18.686;-0.07;-0.11;0.53;-0.18;-0.18;-0.5
18.69;-0.07;-0.11;0.53;-0.21;-0.3;-0.5
18.696;-0.1;-0.14;0.6;-0.21;-0.3;-0.5
18.719;-0.1;-0.14;0.6;-0.23;-0.41;-0.48
18.722;-0.13;-0.16;0.71;-0.23;-0.41;-0.48
18.723;-0.13;-0.16;0.71;-0.21;-0.48;-0.46
18.724;-0.16;-0.19;0.81;-0.21;-0.48;-0.46
18.726;-0.16;-0.19;0.81;-0.18;-0.52;-0.45
18.727;-0.18;-0.19;0.91;-0.18;-0.52;-0.45
18.731;-0.18;-0.19;0.91;-0.12;-0.53;-0.42
18.748;-0.19;-0.18;0.97;-0.12;-0.53;-0.42
18.751;-0.19;-0.18;0.97;-0.04;-0.51;-0.39
18.752;-0.21;-0.15;1.01;-0.04;-0.51;-0.39
18.753;-0.21;-0.15;1.01;0.03;-0.48;-0.36
18.762;-0.21;-0.12;1.02;0.03;-0.48;-0.36
18.764;-0.21;-0.12;1.02;0.09;-0.43;-0.33
18.766;-0.23;-0.08;1.03;0.09;-0.43;-0.33
18.774;-0.23;-0.08;1.03;0.12;-0.36;-0.31
18.777;-0.24;-0.06;1.04;0.12;-0.36;-0.31
18.78;-0.24;-0.06;1.04;0.13;-0.29;-0.3
18.786;-0.26;-0.04;1.06;0.13;-0.29;-0.3
18.791;-0.26;-0.04;1.06;0.12;-0.2;-0.29
18.797;-0.26;-0.04;1.09;0.12;-0.2;-0.29
18.824;-0.26;-0.04;1.09;0.09;-0.11;-0.28
18.827;-0.26;-0.05;1.11;0.09;-0.11;-0.28
18.829;-0.26;-0.05;1.11;0.06;-0.02;-0.29
18.831;-0.26;-0.06;1.16;0.06;-0.02;-0.29
18.833;-0.26;-0.06;1.16;0.03;0.08;-0.29
18.835;-0.25;-0.07;1.18;0.03;0.08;-0.29
18.836;-0.25;-0.07;1.18;0.02;0.16;-0.29
18.837;-0.23;-0.07;1.2;0.02;0.16;-0.29
18.855;-0.23;-0.07;1.2;0.05;0.22;-0.28
18.857;-0.21;-0.07;1.18;0.05;0.22;-0.28
18.858;-0.21;-0.07;1.18;0.1;0.22;-0.25
18.859;-0.2;-0.09;1.1;0.1;0.22;-0.25
18.86;-0.2;-0.09;1.1;0.16;0.18;-0.23
18.869;-0.28;-0.13;1.07;0.16;0.18;-0.23
18.871;-0.28;-0.13;1.07;0.2;0.11;-0.21
18.876;-0.36;-0.15;1.11;0.2;0.11;-0.21
18.88;-0.36;-0.15;1.11;0.21;0.03;-0.19
18.887;-0.45;-0.14;1.12;0.21;0.03;-0.19
18.89;-0.45;-0.14;1.12;0.2;0.03;-0.16
18.896;-0.5;-0.11;1.15;0.2;0.03;-0.16
18.913;-0.5;-0.11;1.15;0.17;0.07;-0.15
18.915;-0.52;-0.08;1.18;0.17;0.07;-0.15
18.917;-0.52;-0.08;1.18;0.14;0.18;-0.15
18.918;-0.44;-0.06;1.19;0.14;0.18;-0.15
18.937;-0.44;-0.06;1.19;0.11;0.3;-0.16
18.939;-0.29;-0.1;1.2;0.11;0.3;-0.16
18.94;-0.29;-0.1;1.2;0.06;0.4;-0.15
18.941;-0.08;-0.16;1.19;0.06;0.4;-0.15
18.942;-0.08;-0.16;1.19;-0.03;0.38;-0.11
18.946;0.01;-0.13;1.31;-0.03;0.38;-0.11
18.951;0.01;-0.13;1.31;-0.15;0.18;-0.08
18.956;0.06;-0.17;1.49;-0.15;0.18;-0.08
18.96;0.06;-0.17;1.49;-0.24;-0.03;-0.06
18.968;0.05;-0.15;1.59;-0.24;-0.03;-0.06
18.971;0.05;-0.15;1.59;-0.32;-0.12;-0.03
18.976;-0.01;-0.15;1.61;-0.32;-0.12;-0.03
18.981;-0.01;-0.15;1.61;-0.4;-0.02;0.0
18.987;-0.02;-0.18;1.53;-0.4;-0.02;0.0
18.991;-0.02;-0.18;1.53;-0.43;0.21;0.04
18.996;0.05;-0.19;1.35;-0.43;0.21;0.04
19.011;0.05;-0.19;1.35;-0.39;0.49;0.13
19.013;0.14;-0.14;1.14;-0.39;0.49;0.13
19.014;0.14;-0.14;1.14;-0.32;0.7;0.21
19.045;0.23;-0.05;0.94;-0.32;0.7;0.21
19.047;0.23;-0.05;0.94;-0.26;0.81;0.23
19.048;0.3;0.05;0.77;-0.26;0.81;0.23
19.049;0.3;0.05;0.77;-0.21;0.81;0.21
19.051;0.34;0.15;0.63;-0.21;0.81;0.21
19.052;0.34;0.15;0.63;-0.18;0.74;0.16
19.053;0.35;0.25;0.51;-0.18;0.74;0.16
19.054;0.35;0.25;0.51;-0.19;0.55;0.06
19.058;0.28;0.31;0.52;-0.19;0.55;0.06
19.062;0.28;0.31;0.52;-0.24;0.29;-0.08
19.068;0.15;0.32;0.59;-0.24;0.29;-0.08
19.07;0.15;0.32;0.59;-0.25;-0.02;-0.25
19.076;0.02;0.3;0.74;-0.25;-0.02;-0.25
19.08;0.02;0.3;0.74;-0.21;-0.3;-0.38
19.086;-0.05;0.24;0.89;-0.21;-0.3;-0.38
19.09;-0.05;0.24;0.89;-0.18;-0.44;-0.42
19.096;-0.13;0.12;1.03;-0.18;-0.44;-0.42
19.112;-0.13;0.12;1.03;-0.12;-0.46;-0.41
19.114;-0.18;0.0;1.1;-0.12;-0.46;-0.41
19.114;-0.18;0.0;1.1;-0.05;-0.38;-0.35
19.136;-0.2;-0.11;1.17;-0.05;-0.38;-0.35
19.138;-0.2;-0.11;1.17;0.02;-0.27;-0.24
19.139;-0.2;-0.17;1.22;0.02;-0.27;-0.24
19.14;-0.2;-0.17;1.22;0.1;-0.16;-0.09
19.141;-0.15;-0.22;1.21;0.1;-0.16;-0.09
19.142;-0.15;-0.22;1.21;0.18;-0.05;0.05
19.146;-0.11;-0.23;1.17;0.18;-0.05;0.05
19.153;-0.11;-0.23;1.17;0.21;0.06;0.14
19.156;-0.07;-0.21;1.09;0.21;0.06;0.14
19.161;-0.07;-0.21;1.09;0.21;0.14;0.16
19.168;-0.05;-0.16;0.99;0.21;0.14;0.16
19.17;-0.05;-0.16;0.99;0.18;0.22;0.14
19.176;-0.04;-0.11;0.88;0.18;0.22;0.14
19.18;-0.04;-0.11;0.88;0.13;0.29;0.09
19.187;-0.03;-0.07;0.76;0.13;0.29;0.09
19.191;-0.03;-0.07;0.76;0.08;0.33;0.05
19.196;-0.03;-0.03;0.65;0.08;0.33;0.05
19.201;-0.03;-0.03;0.65;0.03;0.33;0.03
19.206;-0.04;0.0;0.59;0.03;0.33;0.03
19.211;-0.04;0.0;0.59;-0.02;0.28;0.04
19.23;-0.06;0.02;0.55;-0.02;0.28;0.04
19.231;-0.06;0.02;0.55;-0.04;0.19;0.06
19.232;-0.1;0.03;0.59;-0.04;0.19;0.06
19.233;-0.1;0.03;0.59;-0.04;0.06;0.11
19.255;-0.14;0.05;0.62;-0.04;0.06;0.11
19.256;-0.14;0.05;0.62;-0.03;-0.04;0.26
19.257;-0.16;0.07;0.73;-0.03;-0.04;0.26
19.258;-0.16;0.07;0.73;0.04;-0.17;0.31
19.259;-0.2;0.1;0.77;0.04;-0.17;0.31
19.26;-0.2;0.1;0.77;0.06;-0.19;0.34
19.27;-0.22;0.12;0.83;0.06;-0.19;0.34
19.271;-0.22;0.12;0.83;0.08;-0.18;0.36
19.276;-0.23;0.12;0.84;0.08;-0.18;0.36
19.28;-0.23;0.12;0.84;0.08;-0.17;0.35
19.286;-0.23;0.11;0.83;0.08;-0.17;0.35
19.29;-0.23;0.11;0.83;0.07;-0.17;0.32
19.296;-0.22;0.1;0.81;0.07;-0.17;0.32
19.311;-0.22;0.1;0.81;0.04;-0.18;0.28
19.312;-0.21;0.08;0.79;0.04;-0.18;0.28
19.313;-0.21;0.08;0.79;0.01;-0.19;0.24
19.336;-0.21;0.06;0.79;0.01;-0.19;0.24
19.338;-0.21;0.06;0.79;-0.03;-0.21;0.2
19.339;-0.22;0.02;0.8;-0.03;-0.21;0.2
19.339;-0.22;0.02;0.8;-0.06;-0.22;0.19
19.34;-0.24;-0.02;0.83;-0.06;-0.22;0.19
19.342;-0.24;-0.02;0.83;-0.1;-0.22;0.19
19.346;-0.25;-0.04;0.87;-0.1;-0.22;0.19
19.351;-0.25;-0.04;0.87;-0.12;-0.19;0.22
19.356;-0.26;-0.05;0.92;-0.12;-0.19;0.22
19.36;-0.26;-0.05;0.92;-0.13;-0.15;0.25
19.367;-0.26;-0.04;0.98;-0.13;-0.15;0.25
19.37;-0.26;-0.04;0.98;-0.13;-0.11;0.29
19.376;-0.25;-0.03;1.03;-0.13;-0.11;0.29
