time;gFx;gFy;gFz;TgF
0.009623386;0.0566;0.0236;0.9941;0.983
0.012310418;0.0566;0.0236;0.996;0.985
0.015452762;0.0488;0.0216;0.996;0.985
0.017826147;0.0586;0.0197;1.0175;1.007
0.01974172;0.0801;0.0216;1.0195;1.011
0.021758023;0.0781;0.0255;0.9745;0.966
0.023638752;0.0625;0.0314;0.9491;0.939
0.0255237;0.0449;0.0294;0.9687;0.957
0.027401773;0.0508;0.0177;1.0097;0.998
0.029386565;0.0469;0.0158;1.039;1.027
0.031304169;0.0547;0.0177;1.0175;1.007
0.033114638;0.0566;0.0197;1.0058;0.995
0.034833805;0.0566;0.0255;0.9902;0.979
0.036663805;0.0625;0.0294;0.9745;0.964
0.038378076;0.0625;0.0255;0.9745;0.964
0.040093285;0.0664;0.0255;0.9843;0.974
0.041858129;0.0586;0.0236;1.0038;0.993
0.043419691;0.0547;0.0216;1.0097;0.999
0.047021567;0.0527;0.0197;0.996;0.985
0.048594692;0.0547;0.0216;0.9921;0.981
0.049949067;0.0586;0.0197;0.9941;0.983
0.051263442;0.0586;0.0236;0.9941;0.983
0.05731063;0.0625;0.0255;0.996;0.986
0.058911724;0.0645;0.0255;0.9882;0.978
0.060759224;0.0606;0.0255;0.9863;0.976
0.065002402;0.0625;0.0236;0.996;0.986
0.079112039;0.0566;0.0236;1.0019;0.991
0.080917299;0.0566;0.0216;0.9999;0.989
0.082216674;0.0586;0.0236;0.9999;0.989
0.083344748;0.0566;0.0216;0.996;0.985
0.085187925;0.0566;0.0236;0.9921;0.981
0.097522926;0.0606;0.0255;0.9941;0.984
0.098713864;0.0586;0.0255;0.9921;0.981
0.09980303;0.0547;0.0255;0.9902;0.979
0.112685271;0.0547;0.0236;0.996;0.985
0.114137146;0.0547;0.0216;0.998;0.987
0.115217667;0.0566;0.0236;0.9921;0.981
0.116455167;0.0566;0.0236;0.9921;0.981
0.117596834;0.0586;0.0236;0.9941;0.983
0.122955949;0.0547;0.0255;0.9902;0.979
0.124952929;0.0566;0.0236;0.9921;0.981
0.128896002;0.0566;0.0255;0.9902;0.979
0.134565221;0.0586;0.0236;0.9921;0.981
0.138333034;0.0566;0.0255;0.9941;0.983
0.141219337;0.0566;0.0255;0.9941;0.983
0.145200795;0.0527;0.0236;0.9941;0.983
0.151962046;0.0566;0.0216;0.9941;0.983
0.153292463;0.0586;0.0216;0.9941;0.983
0.157964495;0.0586;0.0236;0.9921;0.981
0.161323662;0.0606;0.0236;0.9941;0.984
0.181547778;0.0566;0.0255;0.9941;0.983
0.182601007;0.0566;0.0255;0.9902;0.979
0.18348632;0.0606;0.0255;0.9941;0.984
0.184538247;0.0586;0.0255;0.996;0.985
0.185549237;0.0566;0.0255;0.996;0.985
0.186884706;0.0606;0.0236;0.9941;0.984
0.190103977;0.0606;0.0255;0.996;0.985
0.194195279;0.0547;0.0197;0.9882;0.977
0.219176792;0.0566;0.0236;0.9941;0.983
0.220116376;0.0566;0.0255;0.9921;0.981
0.221171167;0.0566;0.0236;0.996;0.985
0.221888147;0.0586;0.0216;0.998;0.987
0.222474657;0.0586;0.0236;0.9941;0.983
0.223009709;0.0606;0.0216;0.9941;0.984
0.223534241;0.0566;0.0236;0.996;0.985
0.236429502;0.0566;0.0236;0.996;0.985
0.237554607;0.0566;0.0236;0.9921;0.981
0.238229138;0.0606;0.0236;0.996;0.985
0.238772836;0.0566;0.0216;0.996;0.985
0.252720129;0.0586;0.0216;0.9941;0.983
0.253802994;0.0586;0.0236;0.9921;0.981
0.25446341;0.0606;0.0236;0.9941;0.984
0.25505914;0.0566;0.0236;0.998;0.987
0.269203047;0.0566;0.0255;0.9921;0.981
0.270112266;0.0566;0.0236;0.9941;0.983
0.270824922;0.0586;0.0216;0.9941;0.983
0.271703673;0.0547;0.0236;0.9941;0.983
0.294709508;0.0606;0.0255;0.9941;0.984
0.295780602;0.0566;0.0236;0.996;0.985
0.29705404;0.0586;0.0255;0.9921;0.981
0.298728415;0.0606;0.0236;0.9921;0.982
0.299648884;0.0586;0.0216;0.9921;0.981
0.301519405;0.0547;0.0236;0.9941;0.983
0.302354873;0.0547;0.0216;0.996;0.985
0.302937113;0.0586;0.0216;0.996;0.985
0.305456072;0.0547;0.0236;0.996;0.985
0.310040343;0.0586;0.0216;0.996;0.985
0.313343208;0.0547;0.0236;0.9941;0.983
0.320310552;0.0586;0.0255;0.996;0.985
0.321372063;0.0586;0.0236;0.9941;0.983
0.326423574;0.0566;0.0216;0.996;0.985
0.329913678;0.0586;0.0177;0.996;0.985
0.335897741;0.0606;0.0197;0.9921;0.982
0.33772821;0.0586;0.0255;0.9999;0.989
0.341908523;0.0566;0.0236;0.9921;0.981
0.34573993;0.0547;0.0236;0.996;0.985
0.354310295;0.0566;0.0197;0.9941;0.983
0.355340868;0.0586;0.0236;0.9921;0.981
0.357930087;0.0547;0.0236;0.9941;0.983
0.361644411;0.0566;0.0216;0.996;0.985
0.379053996;0.0606;0.0255;0.9941;0.984
0.380190558;0.0586;0.0216;0.996;0.985
0.381183267;0.0586;0.0236;0.996;0.985
0.382036652;0.0566;0.0236;0.996;0.985
0.382949517;0.0547;0.0255;0.9941;0.983
0.388352695;0.0586;0.0236;0.998;0.987
0.389365768;0.0586;0.0236;0.9941;0.983
0.394129466;0.0547;0.0236;0.9941;0.983
0.397369623;0.0547;0.0177;0.996;0.985
0.403113686;0.0625;0.0216;0.996;0.986
0.405429103;0.0586;0.0255;0.996;0.985
0.409559624;0.0566;0.0236;0.9941;0.983
0.414769364;0.0566;0.0236;0.9902;0.979
0.419127073;0.0547;0.0255;0.9941;0.983
0.421603219;0.0586;0.0255;0.9921;0.981
0.426195459;0.0566;0.0236;0.9921;0.981
0.429283844;0.0606;0.0236;0.9941;0.984
0.436890668;0.0586;0.0255;0.9921;0.981
0.437876918;0.0586;0.0255;0.996;0.985
0.441855044;0.0586;0.0236;0.9941;0.983
0.446046919;0.0606;0.0236;0.998;0.987
0.452939524;0.0586;0.0236;0.9941;0.983
0.453925149;0.0566;0.0236;0.9921;0.981
0.457504108;0.0566;0.0255;0.9941;0.983
0.461946452;0.0606;0.0255;0.9941;0.984
0.477149839;0.0566;0.0255;0.9921;0.981
0.478149318;0.0586;0.0236;0.996;0.985
0.478653693;0.0606;0.0216;0.9941;0.984
0.479062547;0.0566;0.0216;0.9921;0.981
0.486317913;0.0586;0.0236;0.996;0.985
0.487324371;0.0586;0.0236;0.996;0.985
0.490770153;0.0566;0.0275;0.996;0.985
0.494147132;0.0586;0.0255;0.996;0.985
0.498468903;0.0586;0.0236;0.9941;0.983
0.503167446;0.0566;0.0255;0.9941;0.983
0.506045988;0.0606;0.0236;0.998;0.987
0.50975104;0.0606;0.0236;0.9941;0.984
0.513985155;0.0547;0.0236;0.9902;0.979
0.519599478;0.0566;0.0236;0.998;0.987
0.521830989;0.0586;0.0275;0.996;0.985
0.526577917;0.0586;0.0255;0.996;0.985
0.529879115;0.0566;0.0216;0.9921;0.981
0.538772032;0.0586;0.0197;0.9941;0.983
0.539810574;0.0586;0.0236;0.996;0.985
0.541969064;0.0586;0.0255;0.9941;0.983
0.546286981;0.0586;0.0236;0.996;0.985
0.555350367;0.0586;0.0236;0.9941;0.983
0.556280993;0.0606;0.0255;0.9921;0.982
0.558037451;0.0586;0.0216;0.9921;0.981
0.561827868;0.0606;0.0236;0.9921;0.982
0.58422412;0.0586;0.0216;0.9941;0.983
0.585737245;0.0606;0.0236;0.998;0.987
0.586771256;0.0566;0.0236;0.9941;0.983
0.587513287;0.0566;0.0255;0.9941;0.983
0.588131621;0.0586;0.0236;0.998;0.987
0.588716569;0.0586;0.0236;0.9941;0.983
0.590062715;0.0606;0.0236;0.9921;0.982
0.59423485;0.0566;0.0255;0.9941;0.983
0.599804903;0.0547;0.0255;0.9941;0.983
0.602801883;0.0547;0.0236;0.9921;0.981
0.606519695;0.0566;0.0236;0.9941;0.983
0.610660008;0.0586;0.0236;0.9921;0.981
0.613926415;0.0566;0.0216;0.9941;0.983
0.620495582;0.0586;0.0255;0.998;0.987
0.622961624;0.0566;0.0236;0.998;0.987
0.62678402;0.0566;0.0197;0.996;0.985
0.630939281;0.0586;0.0236;0.996;0.985
0.63790048;0.0586;0.0255;0.9941;0.983
0.639022251;0.0586;0.0236;0.9941;0.983
0.642612251;0.0586;0.0236;0.996;0.985
0.647130429;0.0625;0.0236;0.996;0.986
0.65627444;0.0566;0.0236;0.9941;0.983
0.657579492;0.0566;0.0236;0.9941;0.983
0.658483711;0.0566;0.0216;0.9921;0.981
0.662383816;0.0625;0.0255;0.996;0.986
0.679269755;0.0566;0.0216;0.996;0.985
0.68047814;0.0586;0.0216;0.996;0.985
0.681416682;0.0547;0.0236;0.998;0.987
0.682323661;0.0586;0.0236;0.9941;0.983
0.683086943;0.0586;0.0236;0.9921;0.981
0.688049495;0.0586;0.0197;0.9921;0.981
0.690376683;0.0566;0.0236;0.9921;0.981
0.695069236;0.0566;0.0216;0.996;0.985
0.698448663;0.0547;0.0236;0.9999;0.989
0.703508143;0.0586;0.0216;0.996;0.985
0.70614757;0.0586;0.0236;0.9941;0.983
0.711033716;0.0586;0.0236;0.9921;0.981
0.714073352;0.0566;0.0255;0.9941;0.983
0.720704446;0.0566;0.0236;0.996;0.985
0.722256478;0.0547;0.0236;0.996;0.985
0.72703476;0.0566;0.0236;0.9921;0.981
0.730575802;0.0586;0.0236;0.9941;0.983
0.737216375;0.0606;0.0216;0.996;0.985
0.738316063;0.0586;0.0216;0.9941;0.983
0.742256115;0.0566;0.0236;0.9941;0.983
0.747019137;0.0566;0.0236;0.998;0.987
0.756062731;0.0586;0.0255;0.9941;0.983
0.757146377;0.0586;0.0216;0.9921;0.981
0.758267419;0.0566;0.0236;0.9941;0.983
0.762325388;0.0547;0.0275;0.9941;0.983
0.78099289;0.0566;0.0236;0.996;0.985
0.782097421;0.0566;0.0255;0.9941;0.983
0.782770859;0.0586;0.0255;0.998;0.987
0.783449296;0.0586;0.0255;0.9941;0.983
0.784264244;0.0566;0.0255;0.9941;0.983
0.786581432;0.0586;0.0255;0.996;0.985
0.790750443;0.0586;0.0236;0.9941;0.983
0.794990339;0.0586;0.0236;0.996;0.985
0.798300131;0.0606;0.0236;0.9941;0.984
0.802696017;0.0527;0.0236;0.9921;0.981
0.80609284;0.0547;0.0216;0.9941;0.983
0.810960028;0.0586;0.0236;0.998;0.987
0.814419143;0.0566;0.0236;0.9941;0.983
0.819037321;0.0586;0.0236;0.9941;0.983
0.822192165;0.0547;0.0236;0.9941;0.983
0.826759405;0.0566;0.0236;0.996;0.985
0.830874457;0.0606;0.0216;0.998;0.987
0.835601125;0.0586;0.0216;0.996;0.985
0.838478833;0.0527;0.0255;0.9941;0.983
0.843032167;0.0586;0.0236;0.996;0.985
0.847109355;0.0586;0.0236;0.996;0.985
0.859506335;0.0586;0.0255;0.9941;0.983
0.860461596;0.0606;0.0236;0.9941;0.984
0.861020606;0.0586;0.0236;0.996;0.985
0.862432638;0.0586;0.0236;0.996;0.985
0.867629044;0.0586;0.0216;0.996;0.985
0.871760451;0.0566;0.0216;0.998;0.987
0.874369878;0.0586;0.0236;0.996;0.985
0.878201858;0.0586;0.0236;0.9921;0.981
0.887325713;0.0547;0.0216;0.9941;0.983
0.888228786;0.0566;0.0197;0.998;0.987
0.890498317;0.0566;0.0255;0.9941;0.983
0.894233214;0.0547;0.0236;0.9941;0.983
0.898159047;0.0566;0.0216;0.998;0.987
0.902076964;0.0566;0.0255;0.996;0.985
0.907201496;0.0566;0.0216;0.998;0.987
0.910871913;0.0586;0.0216;0.996;0.985
0.920621341;0.0586;0.0216;0.996;0.985
0.921534935;0.0527;0.0216;0.998;0.987
0.922072123;0.0566;0.0216;0.9921;0.981
0.927206394;0.0547;0.0236;0.996;0.985
0.931062228;0.0586;0.0255;0.9921;0.981
0.935317749;0.0566;0.0236;0.9941;0.983
0.938417333;0.0586;0.0255;0.9941;0.983
0.942185875;0.0586;0.0236;0.9921;0.981
0.947325511;0.0586;0.0236;0.9921;0.981
0.954729782;0.0606;0.0216;0.9921;0.982
0.955597803;0.0625;0.0236;0.9921;0.982
0.958387908;0.0547;0.0255;0.9941;0.983
0.96235546;0.0586;0.0255;0.996;0.985
0.966292388;0.0586;0.0275;0.9941;0.983
0.982094941;0.0566;0.0236;0.996;0.985
0.983250775;0.0566;0.0236;0.996;0.985
0.984045775;0.0586;0.0236;0.996;0.985
0.984756712;0.0566;0.0236;0.996;0.985
0.986016244;0.0606;0.0236;0.996;0.985
0.990542286;0.0586;0.0255;0.996;0.985
0.994364161;0.0547;0.0255;0.9921;0.981
0.998272912;0.0586;0.0216;0.996;0.985
1.002339579;0.0586;0.0236;0.9941;0.983
1.006012027;0.0606;0.0275;0.9941;0.984
1.010174059;0.0566;0.0236;0.996;0.985
1.014374319;0.0566;0.0236;0.9941;0.983
1.018206768;0.0606;0.0255;0.9941;0.984
1.022063799;0.0566;0.0236;0.9941;0.983
1.026124841;0.0566;0.0275;0.9941;0.983
1.030091717;0.0566;0.0236;0.996;0.985
1.034587707;0.0606;0.0255;0.9941;0.984
1.038514374;0.0586;0.0216;0.9941;0.983
1.042207551;0.0566;0.0236;0.996;0.985
1.046492656;0.0586;0.0255;0.996;0.985
1.053653855;0.0606;0.0255;0.996;0.985
1.054470365;0.0625;0.0216;0.9941;0.984
1.05808922;0.0586;0.0216;0.998;0.987
1.062613126;0.0547;0.0255;0.9921;0.981
1.067781721;0.0606;0.0216;0.9941;0.984
1.070575263;0.0566;0.0255;0.996;0.985
1.074615002;0.0586;0.0236;0.9941;0.983
1.078515992;0.0586;0.0255;0.996;0.985
1.083457608;0.0566;0.0236;0.996;0.985
1.086237243;0.0586;0.0236;0.9941;0.983
1.090404848;0.0586;0.0236;0.996;0.985
1.094426567;0.0566;0.0216;0.9921;0.981
1.098411099;0.0586;0.0236;0.9941;0.983
1.103213703;0.0586;0.0275;0.998;0.987
1.106410839;0.0586;0.0216;0.9921;0.981
1.110564433;0.0586;0.0236;0.9921;0.981
1.114340059;0.0586;0.0236;0.998;0.987
1.118784486;0.0586;0.0236;0.9941;0.983
1.122371934;0.0566;0.0255;0.996;0.985
1.126560893;0.0547;0.0236;0.9921;0.981
1.130471571;0.0586;0.0236;0.996;0.985
1.134939852;0.0566;0.0236;0.996;0.985
1.138444644;0.0586;0.0255;0.9941;0.983
1.142526363;0.0566;0.0236;0.998;0.987
1.146531937;0.0606;0.0216;0.9941;0.984
1.152237354;0.0566;0.0236;0.9941;0.983
1.154688917;0.0586;0.0236;0.9941;0.983
1.158503188;0.0586;0.0216;0.9921;0.981
1.162457928;0.0547;0.0255;0.996;0.985
1.170564595;0.0586;0.0236;0.9921;0.981
1.17122371;0.0586;0.0216;0.9941;0.983
1.174459075;0.0566;0.0255;0.9921;0.981
1.17848418;0.0586;0.0236;0.998;0.987
1.196308296;0.0566;0.0236;0.9941;0.983
1.197035848;0.0547;0.0236;0.9941;0.983
1.197634181;0.0586;0.0255;0.9941;0.983
1.19877314;0.0586;0.0236;0.9921;0.981
1.199342671;0.0606;0.0236;0.9921;0.982
1.206889026;0.0606;0.0255;0.9921;0.982
1.207832464;0.0586;0.0216;0.9941;0.983
1.210703037;0.0586;0.0216;0.9941;0.983
1.214811735;0.0606;0.0255;0.9941;0.984
1.220823194;0.0566;0.0255;0.9941;0.983
1.22213658;0.0586;0.0255;0.9941;0.983
1.226743872;0.0586;0.0236;0.9921;0.981
1.230531528;0.0586;0.0216;0.996;0.985
1.235847675;0.0606;0.0255;0.9941;0.984
1.2385683;0.0586;0.0255;0.998;0.987
1.242448613;0.0547;0.0216;0.998;0.987
1.246662624;0.0566;0.0216;0.998;0.987
1.254177208;0.0625;0.0236;0.9941;0.984
1.254860437;0.0566;0.0216;0.9941;0.983
1.25857825;0.0606;0.0216;0.9941;0.984
1.262564084;0.0586;0.0216;0.9921;0.981
1.278609606;0.0586;0.0216;0.9941;0.983
1.279257262;0.0606;0.0236;0.9941;0.984
1.279636742;0.0586;0.0294;0.9941;0.983
1.279940648;0.0566;0.0236;0.9999;0.989
1.282712732;0.0586;0.0216;0.996;0.985
1.288756586;0.0566;0.0236;0.9941;0.983
1.29076893;0.0566;0.0216;0.9921;0.981
1.294815858;0.0566;0.0216;0.9921;0.981
1.298398879;0.0566;0.0236;0.9921;0.981
1.303068619;0.0586;0.0197;0.9941;0.983
1.306722786;0.0547;0.0216;0.9921;0.981
1.310827578;0.0547;0.0236;0.996;0.985
1.314561693;0.0586;0.0255;0.9941;0.983
1.319731798;0.0586;0.0216;0.996;0.985
1.322729923;0.0566;0.0236;0.998;0.987
1.326738726;0.0606;0.0216;0.996;0.985
1.330930809;0.0606;0.0236;0.9902;0.98
1.336108622;0.0606;0.0255;0.9941;0.984
1.338585445;0.0547;0.0255;0.9921;0.981
1.342629144;0.0566;0.0236;0.998;0.987
1.346844821;0.0566;0.0236;0.996;0.985
1.353144561;0.0566;0.0216;0.9941;0.983
1.35488128;0.0606;0.0216;0.9941;0.984
1.35877951;0.0606;0.0236;0.9941;0.984
1.362617792;0.0586;0.0236;0.9941;0.983
1.371284563;0.0606;0.0236;0.9921;0.982
1.371949876;0.0586;0.0216;0.9902;0.979
1.374833262;0.0566;0.0236;0.9941;0.983
1.378907481;0.0566;0.0216;0.996;0.985
1.383652169;0.0586;0.0216;0.9941;0.983
1.394962899;0.0566;0.0216;0.996;0.985
1.395710659;0.0566;0.0236;0.9921;0.981
1.39610243;0.0586;0.0197;0.996;0.985
1.399177431;0.0566;0.0255;0.9941;0.983
1.405886025;0.0566;0.0255;0.996;0.985
1.4066979;0.0566;0.0255;0.9921;0.981
1.410919515;0.0566;0.0216;0.998;0.987
1.414877641;0.0566;0.0216;0.996;0.985
1.420683422;0.0547;0.0236;0.9921;0.981
1.422591548;0.0586;0.0236;0.9921;0.981
1.426704985;0.0566;0.0236;0.996;0.985
1.430520507;0.0586;0.0216;0.9941;0.983
1.43587108;0.0606;0.0255;0.996;0.985
1.438714153;0.0566;0.0236;0.996;0.985
1.442544675;0.0566;0.0216;0.9921;0.981
1.446734883;0.0586;0.0255;0.996;0.985
1.454620301;0.0606;0.0197;0.996;0.986
1.455239103;0.0586;0.0197;0.998;0.987
1.458687072;0.0586;0.0236;0.9941;0.983
1.462669781;0.0547;0.0236;0.9941;0.983
1.466633531;0.0606;0.0216;0.9921;0.982
1.48058348;0.0566;0.0216;0.996;0.985
1.481311189;0.0586;0.0236;0.996;0.985
1.481711658;0.0625;0.0216;0.9941;0.984
1.482996762;0.0566;0.0255;0.996;0.985
1.490996502;0.0566;0.0255;0.9921;0.981
1.4917077;0.0566;0.0236;0.9941;0.983
1.494751919;0.0586;0.0236;0.996;0.985
1.49899317;0.0566;0.0216;0.996;0.985
1.504517493;0.0547;0.0255;0.9941;0.983
1.50678166;0.0586;0.0275;0.996;0.985
1.510905463;0.0625;0.0216;0.998;0.988
1.514811296;0.0625;0.0236;0.996;0.986
1.519604474;0.0606;0.0255;0.9941;0.984
1.52279838;0.0606;0.0236;0.996;0.985
1.527051402;0.0566;0.0236;0.998;0.987
1.531034423;0.0606;0.0236;0.998;0.987
1.536087861;0.0606;0.0236;0.9921;0.982
1.538775517;0.0566;0.0236;0.9941;0.983
1.542775674;0.0586;0.0236;0.996;0.985
1.546869372;0.0586;0.0255;0.996;0.985
1.553132706;0.0566;0.0236;0.9941;0.983
1.554918488;0.0566;0.0255;0.9902;0.979
1.558905624;0.0625;0.0216;0.996;0.986
1.563064062;0.0586;0.0236;0.9921;0.981
1.572562396;0.0586;0.0236;0.996;0.985
1.573281406;0.0606;0.0216;0.9941;0.984
1.575098698;0.0586;0.0216;0.9902;0.979
1.579895209;0.0586;0.0255;0.996;0.985
1.583197345;0.0566;0.0236;0.9941;0.983
1.594581877;0.0566;0.0255;0.996;0.985
1.595300054;0.0566;0.0236;0.9921;0.981
1.59566844;0.0586;0.0236;0.9921;0.981
1.599686305;0.0606;0.0236;0.9902;0.98
